word,VERB,NOUN,PRON,ADJ,ADV,ADP,CONJ,DET,NUM,PRT,X,.
evil,0,24,0,25,0,0,0,0,0,0,0,0
place,36,333,0,0,0,0,0,0,0,0,0,0
English,0,56,0,75,0,0,0,0,0,0,0,0
philosopher,0,10,0,0,0,0,0,0,0,0,0,0
Samuel,0,26,0,0,0,0,0,0,0,0,0,0
Alexander's,0,2,0,0,0,0,0,0,0,0,0,0
debt,0,8,0,0,0,0,0,0,0,0,0,0
Wordsworth,0,2,0,0,0,0,0,0,0,0,0,0
Meredith,0,16,0,0,0,0,0,0,0,0,0,0
recent,0,0,0,116,0,0,0,0,0,0,0,0
interesting,0,0,0,53,0,0,0,0,0,0,0,0
example,0,197,0,0,0,0,0,0,0,0,0,0
also,0,0,0,0,722,0,0,0,0,0,0,0
A.,0,77,0,0,0,0,0,0,0,0,0,0
N.,0,16,0,1,0,0,0,0,0,0,0,0
Whitehead's,0,2,0,0,0,0,0,0,0,0,0,0
understanding,23,57,0,0,0,0,0,0,0,0,0,0
romantics,0,5,0,0,0,0,0,0,0,0,0,0
chiefly,0,0,0,0,16,0,0,0,0,0,0,0
Shelley,0,9,0,0,0,0,0,0,0,0,0,0
So,0,0,0,0,120,40,0,0,0,1,0,0
faced,36,0,0,0,0,0,0,0,0,0,0,0
vast,0,0,0,34,0,0,0,0,0,0,0,0
network,0,17,0,0,0,0,0,0,0,0,0,0
amorphous,0,0,0,4,0,0,0,0,0,0,0,0
entities,0,8,0,0,0,0,0,0,0,0,0,0
perpetuating,3,0,0,0,0,0,0,0,0,0,0,0
themselves,0,0,171,0,0,0,0,0,0,0,0,0
whatever,0,0,0,0,1,0,0,60,0,0,0,0
manner,0,73,0,0,0,0,0,0,0,0,0,0
they,0,0,1956,0,0,0,0,0,0,0,0,0
can,1224,5,0,0,0,0,0,0,0,0,1,0
without,0,0,0,0,0,378,0,0,0,0,0,0
regard,25,38,0,0,0,0,0,0,0,0,0,0
needs,44,67,0,0,0,0,0,0,0,0,0,0
society,0,139,0,0,0,0,0,0,0,0,0,0
controlling,16,0,0,0,0,0,0,0,0,0,0,0
forcing,12,0,0,0,0,0,0,0,0,0,0,0
upon,0,0,0,0,33,318,0,0,0,0,0,0
regime,0,19,0,0,0,0,0,0,0,0,0,0
representing,18,0,0,0,0,0,0,0,0,0,0,0
only,0,0,0,252,882,0,0,0,0,0,0,0
corporation's,0,4,0,0,0,0,0,0,0,0,0,0
survival,0,17,0,0,0,0,0,0,0,0,0,0
First,0,0,0,63,25,0,0,0,0,0,0,0
encourage,31,0,0,0,0,0,0,0,0,0,0,0
responsibility,0,79,0,0,0,0,0,0,0,0,0,0
establishing,17,0,0,0,0,0,0,0,0,0,0,0
conditions,0,127,0,0,0,0,0,0,0,0,0,0
assistance,0,60,0,0,0,0,0,0,0,0,0,0
on,0,0,0,0,0,4086,0,0,0,401,2,0
substantial,0,0,0,38,0,0,0,0,0,0,0,0
sustained,10,0,0,0,0,0,0,0,0,0,0,0
scale,1,45,0,0,0,0,0,0,0,0,0,0
definition,0,22,0,0,0,0,0,0,0,0,0,0
objectives,0,25,0,0,0,0,0,0,0,0,0,0
assessment,0,18,0,0,0,0,0,0,0,0,0,0
costs,5,131,0,0,0,0,0,0,0,0,0,0
Could,19,0,0,0,0,0,0,0,0,0,0,0
just,0,0,0,12,530,0,0,0,0,0,0,0
Theresa,0,15,0,0,0,0,0,0,0,0,0,0
wondered,43,0,0,0,0,0,0,0,0,0,0,0
Anne,0,34,0,0,0,0,0,0,0,0,0,0
understood,40,0,0,0,0,0,0,0,0,0,0,0
too,0,0,0,0,550,0,0,0,0,0,0,0
well,3,12,0,11,493,0,0,0,0,17,0,0
George,0,85,0,0,0,0,0,0,0,0,0,0
all,0,0,0,0,114,0,0,0,0,1779,0,0
along,0,0,0,0,102,124,0,0,0,0,0,0
was,6828,0,0,0,0,0,0,0,0,0,0,0
extraordinary,0,0,0,21,0,0,0,0,0,0,0,0
degree,0,91,0,0,0,0,0,0,0,0,0,0
dull,0,0,0,23,0,0,0,0,0,0,0,0
?,0,0,0,0,0,0,0,0,0,0,1,3346
Since,0,0,0,0,0,107,0,0,0,0,0,0
Af,0,709,0,0,0,0,0,0,0,0,1,0
P,0,37,0,0,0,0,0,0,0,0,0,0
divides,5,0,0,0,0,0,0,0,0,0,0,0
have,2765,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,366,0,0,0
In,0,0,0,0,0,1252,0,0,0,1,0,0
upper,0,0,0,46,0,0,0,0,0,0,0,0
teen,0,2,0,0,0,0,0,0,0,0,0,0
Jewish,0,0,0,55,0,0,0,0,0,0,0,0
life,0,460,0,0,0,0,0,0,0,0,0,0
non-college,0,1,0,0,0,0,0,0,0,0,0,0
group,2,275,0,0,0,0,0,0,0,0,0,0
tends,24,0,0,0,0,0,0,0,0,0,0,0
sense,6,209,0,0,0,0,0,0,0,0,0,0
marginality,0,1,0,0,0,0,0,0,0,0,0,0
One,0,57,0,0,0,0,0,0,231,0,0,0
tempest,0,1,0,0,0,0,0,0,0,0,0,0
stirred,13,0,0,0,0,0,0,0,0,0,0,0
up,0,0,0,0,0,126,0,0,0,1162,0,0
last,17,7,0,401,20,0,0,0,0,0,0,0
March,0,68,0,0,0,0,0,0,0,0,0,0
when,0,0,0,0,1209,0,0,0,0,0,0,0
Udall,0,5,0,0,0,0,0,0,0,0,0,0
announced,56,0,0,0,0,0,0,0,0,0,0,0
eight-and-a-half-foot,0,0,0,1,0,0,0,0,0,0,0,0
bronze,0,5,0,3,0,0,0,0,0,0,0,0
statue,0,9,0,0,0,0,0,0,0,0,0,0
William,0,109,0,0,0,0,0,0,0,0,0,0
Jennings,0,3,0,0,0,0,0,0,0,0,0,0
Bryan,0,9,0,0,0,0,0,0,0,0,0,0
sculpted,1,0,0,0,0,0,0,0,0,0,0,0
late,0,0,0,92,27,0,0,0,0,0,0,0
Gutzon,0,1,0,0,0,0,0,0,0,0,0,0
Borglum,0,1,0,0,0,0,0,0,0,0,0,0
sent,101,0,0,0,0,0,0,0,0,0,0,0
indefinite,0,1,0,5,0,0,0,0,0,0,0,0
loan,0,24,0,0,0,0,0,0,0,0,0,0
Salem,0,14,0,0,0,0,0,0,0,0,0,0
Illinois,0,30,0,0,0,0,0,0,0,0,0,0
Bryan's,0,2,0,0,0,0,0,0,0,0,0,0
birthplace,0,5,0,0,0,0,0,0,0,0,0,0
You,0,0,393,0,0,0,0,0,0,0,0,0
killed,47,0,0,0,0,0,0,0,0,0,0,0
didn't,275,0,0,0,0,0,0,0,0,0,0,0
you,0,0,1952,0,0,0,0,0,0,0,0,0
first,0,0,0,676,204,0,0,0,0,0,0,0
case,1,241,0,0,0,0,0,0,0,0,0,0
fixed,48,0,0,0,0,0,0,0,0,0,0,0
elements,0,75,0,0,0,0,0,0,0,0,0,0
within,0,0,0,0,5,227,0,0,0,0,0,0
each,0,0,0,0,0,0,0,527,0,0,0,0
pencil,0,26,0,0,0,0,0,0,0,0,0,0
multiple,0,0,0,27,0,0,0,0,0,0,0,0
secant,0,11,0,0,0,0,0,0,0,0,0,0
line,1,198,0,0,0,0,0,0,0,0,0,0
joining,11,0,0,0,0,0,0,0,0,0,0,0
vertex,0,11,0,0,0,0,0,0,0,0,0,0
intersection,0,12,0,0,0,0,0,0,0,0,0,0
**zg,0,25,0,0,0,0,0,0,0,0,0,0
plane,1,80,0,0,0,0,0,0,0,0,0,0
does,309,0,0,0,0,0,0,0,0,0,0,0
not,0,0,0,0,3110,0,0,0,0,0,0,0
lie,35,5,0,0,0,0,0,0,0,0,0,0
Before,0,0,0,0,0,47,0,0,0,0,0,0
let,196,5,0,0,0,0,0,0,0,0,0,0
loose,2,1,0,28,7,0,0,0,0,0,0,0
howl,0,3,0,0,0,0,0,0,0,0,0,0
saying,79,1,0,0,0,0,0,0,0,0,0,0
its,0,0,0,0,0,0,0,1280,0,0,0,0
coming,111,7,0,0,0,0,0,0,0,0,0,0
once,0,0,0,0,248,34,0,0,0,0,0,0
but,0,0,0,0,23,90,1988,0,0,0,0,0
several,0,0,0,240,0,0,0,0,0,0,0,0
times,0,185,0,0,0,3,0,0,0,0,0,0
indeed,0,0,0,0,81,0,0,0,0,1,0,0
did,706,0,0,0,0,0,0,0,0,0,0,0
Either,0,0,0,0,0,0,5,4,0,0,0,0
or,0,0,0,0,0,0,2870,0,0,0,1,0
veterinarian,0,1,0,0,0,0,0,0,0,0,0,0
Kennan,0,5,0,0,0,0,0,0,0,0,0,0
takes,62,0,0,0,0,0,0,0,0,0,0,0
careful,0,0,0,42,0,0,0,0,0,0,0,0
account,21,67,0,0,0,0,0,0,0,0,0,0
every,0,0,0,0,0,0,0,300,0,0,0,0
mitigating,2,0,0,0,0,0,0,0,0,0,0,0
circumstance,0,10,0,0,0,0,0,0,0,0,0,0
recalling,3,2,0,0,0,0,0,0,0,0,0,0
historical,0,0,0,45,0,0,0,0,0,0,0,0
atmosphere,0,57,0,0,0,0,0,0,0,0,0,0
mistaken,11,0,0,0,0,0,0,0,0,0,0,0
decisions,0,32,0,0,0,0,0,0,0,0,0,0
were,2260,0,0,0,0,0,0,0,0,0,0,0
taken,193,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,33,0,0,0
social-economic,0,0,0,3,0,0,0,0,0,0,0,0
approach,12,76,0,0,0,0,0,0,0,0,0,0
European,0,1,0,41,0,0,0,0,0,0,0,0
integration,0,29,0,0,0,0,0,0,0,0,0,0
capped,1,0,0,0,0,0,0,0,0,0,0,0
formation,0,27,0,0,0,0,0,0,0,0,0,0
among,0,0,0,0,0,224,0,0,0,0,1,0
Six,0,1,0,0,0,0,0,0,20,0,0,0
tariff-free,0,0,0,1,0,0,0,0,0,0,0,0
Common,0,5,0,6,0,0,0,0,0,0,0,0
Market,0,7,0,0,0,0,0,0,0,0,0,0
Euratom,0,1,0,0,0,0,0,0,0,0,0,0
cooperation,0,25,0,0,0,0,0,0,0,0,0,0
development,0,214,0,0,0,0,0,0,0,0,1,0
atomic,0,0,0,27,0,0,0,0,0,0,0,0
energy,0,66,0,0,0,0,0,0,0,0,0,0
This,0,0,0,0,0,0,0,787,0,0,0,0
leads,18,1,0,0,0,0,0,0,0,0,0,0
one,0,328,0,0,0,0,0,2,1697,0,0,0
conclude,10,0,0,0,0,0,0,0,0,0,0,0
inevitably,0,0,0,0,27,0,0,0,0,0,0,0
more,0,0,0,678,851,0,0,0,0,0,0,0
prestige,0,18,0,0,0,0,0,0,0,0,0,0
management,0,65,0,0,0,0,0,0,0,0,0,0
position,2,164,0,0,0,0,0,0,0,0,0,0
minds,0,41,0,0,0,0,0,0,0,0,0,0
our,0,0,0,0,0,0,0,795,0,0,0,0
people,2,543,0,0,0,0,0,0,0,0,0,0
I,0,4,3699,0,0,0,0,0,0,0,1,0
believe,140,0,0,0,0,0,0,0,0,0,0,0
then,0,0,0,9,684,0,0,0,0,0,0,0
stuck,15,0,0,0,0,0,0,0,0,0,0,0
things,0,241,0,0,0,0,0,0,0,0,0,0
into,0,0,0,0,0,1249,0,0,0,0,3,0
holes,0,26,0,0,0,0,0,0,0,0,0,0
why,0,0,0,0,183,0,0,0,0,0,0,0
come,418,0,0,0,0,0,0,0,0,0,0,0
right,0,132,0,154,138,0,0,0,0,0,0,0
out,0,0,0,0,1,296,0,1,0,1145,0,0
again,0,0,0,0,347,0,0,0,0,0,0,0
no,0,0,0,0,139,0,0,1090,0,0,0,0
art,4,126,0,0,0,0,0,0,0,0,0,0
born,82,0,0,0,0,0,0,0,0,0,0,0
early,0,0,0,163,66,0,0,0,0,0,0,0
movies,0,23,0,0,0,0,0,0,0,0,0,0
To,0,0,0,0,0,108,0,0,0,162,0,0
me,0,0,783,0,0,0,0,0,0,0,0,0
you'll,0,0,0,0,0,0,0,0,0,42,0,0
always,0,0,0,0,312,0,0,0,0,0,0,0
girl,0,144,0,0,0,0,0,0,0,0,0,0
o',1,0,0,0,0,10,0,0,0,0,0,0
my,0,0,0,0,0,0,0,836,0,1,0,0
dreams,2,19,0,0,0,0,0,0,0,0,0,0
an',0,0,0,0,0,0,7,0,0,0,0,0
sweetest,0,0,0,2,0,0,0,0,0,0,0,0
flower,0,12,0,0,0,0,0,0,0,0,0,0
grows,13,0,0,0,0,0,0,0,0,0,0,0
He,0,0,2099,0,0,0,0,0,0,0,0,0
held,184,0,0,0,0,0,0,0,0,0,0,0
elbows,0,6,0,0,0,0,0,0,0,0,0,0
body,0,183,0,0,0,0,0,0,0,0,0,0
little,0,0,0,464,78,0,0,0,0,0,0,0
sweet,0,0,0,48,1,0,0,0,0,0,0,0
potato,0,9,0,0,0,0,0,0,0,0,0,0
trilled,1,0,0,0,0,0,0,0,0,0,0,0
neatly,0,0,0,0,14,0,0,0,0,0,0,0
sweetly,0,0,0,0,3,0,0,0,0,0,0,0
tickled,2,0,0,0,0,0,0,0,0,0,0,0
tune-belly,0,1,0,0,0,0,0,0,0,0,0,0
The,0,0,0,0,0,0,0,5045,0,0,0,0
jury,0,48,0,0,0,0,0,0,0,0,0,0
commented,14,0,0,0,0,0,0,0,0,0,0,0
Fulton,0,11,0,0,0,0,0,0,0,0,0,0
ordinary's,0,1,0,0,0,0,0,0,0,0,0,0
court,2,84,0,0,0,0,0,0,0,0,0,0
has,1695,0,0,0,0,0,0,0,0,0,1,0
been,1724,0,0,0,0,0,0,0,0,0,0,0
under,0,0,0,2,7,451,0,0,0,0,0,0
fire,9,115,0,0,0,0,0,0,0,0,0,0
practices,1,40,0,0,0,0,0,0,0,0,0,0
appointment,0,18,0,0,0,0,0,0,0,0,0,0
appraisers,0,1,0,0,0,0,0,0,0,0,0,0
guardians,0,2,0,0,0,0,0,0,0,0,0,0
administrators,0,3,0,0,0,0,0,0,0,0,0,0
awarding,1,1,0,0,0,0,0,0,0,0,0,0
fees,0,20,0,0,0,0,0,0,0,0,0,0
compensation,0,11,0,0,0,0,0,0,0,0,0,0
want,237,7,0,0,0,0,0,0,0,0,0,0
stir,3,0,0,0,0,0,0,0,0,0,0,0
Yet,0,0,0,0,43,0,56,0,0,0,0,0
precedent,0,4,0,0,0,0,0,0,0,0,0,0
At,0,0,0,0,0,286,0,0,0,0,0,0
time,1,1110,0,0,0,0,0,0,0,0,0,0
capture,13,4,0,0,0,0,0,0,0,0,0,0
Helion,0,13,0,0,0,0,0,0,0,0,0,0
person,0,125,0,0,0,0,0,0,0,0,0,0
sketchbook,0,2,0,0,0,0,0,0,0,0,0,0
bought,42,0,0,0,0,0,0,0,0,0,0,0
Woolworth's,0,1,0,0,0,0,0,0,0,0,0,0
New,0,0,0,388,0,0,0,0,0,0,0,0
York,0,193,0,0,0,0,0,0,0,0,0,0
Nowhere,0,0,0,0,5,0,0,0,0,0,0,0
boat,0,53,0,0,0,0,0,0,0,0,0,0
do,903,0,0,0,0,0,0,0,0,0,0,0
frames,0,19,0,0,0,0,0,0,0,0,0,0
contact,1,39,0,0,0,0,0,0,0,0,0,0
plywood,0,6,0,0,0,0,0,0,0,0,0,0
planking,0,4,0,0,0,0,0,0,0,0,0,0
Undoubtedly,0,0,0,0,5,0,0,0,0,0,0,0
however,0,0,0,0,248,0,0,0,0,0,0,0
significance,0,53,0,0,0,0,0,0,0,0,0,0
volume,0,77,0,0,0,0,0,0,0,0,0,0
greater,0,0,0,130,0,0,0,0,0,0,0,0
than,0,0,0,0,0,1273,0,0,0,0,0,0
foregoing,6,1,0,0,0,0,0,0,0,0,0,0
paragraphs,0,8,0,0,0,0,0,0,0,0,0,0
suggest,35,0,0,0,0,0,0,0,0,0,0,0
Laguerre,0,2,0,0,0,0,0,0,0,0,0,0
Hanover,0,46,0,0,0,0,0,0,0,0,0,0
(,0,0,0,0,0,0,0,0,0,0,9,1682
Tar,0,10,0,0,0,0,0,0,0,0,0,0
Heel-Lotus,0,2,0,0,0,0,0,0,0,0,0,0
),0,0,0,0,0,0,0,0,0,0,9,1705
2:30.3-:36.1,0,0,0,0,0,0,0,0,2,0,0,0
;,0,0,0,0,0,0,0,0,0,0,0,3824
looked,249,0,0,0,0,0,0,0,0,0,0,0
radioactivity,0,2,0,0,0,0,0,0,0,0,0,0
fallout,0,15,0,0,0,0,0,0,0,0,0,0
decays,1,0,0,0,0,0,0,0,0,0,0,0
rapidly,0,0,0,0,42,0,0,0,0,0,0,0
7th,0,0,0,11,0,0,0,0,0,0,0,0
Cavalry,0,8,0,0,0,0,0,0,0,0,0,0
troopers,0,5,0,0,0,0,0,0,0,0,0,0
charged,46,0,0,0,0,0,0,0,0,0,0,0
guarding,6,0,0,0,0,0,0,0,0,0,0,0
Imperial,0,0,0,5,0,0,0,0,0,0,0,0
Palace,0,14,0,0,0,0,0,0,0,0,0,0
Emperor,0,11,0,0,0,0,0,0,0,0,0,0
said,1355,0,0,0,0,0,0,0,0,0,0,0
good,0,44,0,499,9,0,0,0,0,0,0,0
tonight,0,26,0,0,0,0,0,0,0,0,0,0
Earl,0,8,0,0,0,0,0,0,0,0,0,0
As,0,0,0,0,37,345,0,0,0,0,0,0
notable,0,0,0,12,0,0,0,0,0,0,0,0
examples,0,31,0,0,0,0,0,0,0,0,0,0
abuse,3,7,0,0,0,0,0,0,0,0,0,0
quotes,4,0,0,0,0,0,0,0,0,0,0,0
passages,0,15,0,0,0,0,0,0,0,0,0,0
Examiner,0,6,0,0,0,0,0,0,0,0,0,0
Destroyer,0,1,0,0,0,0,0,0,0,0,0,0
Character,0,1,0,0,0,0,0,0,0,0,0,0
Richard,0,53,0,0,0,0,0,0,0,0,0,0
Steele,0,13,0,0,0,0,0,0,0,0,0,0
here,0,0,0,0,420,0,0,0,0,0,0,0
attributes,1,5,0,0,0,0,0,0,0,0,0,0
Swift,0,16,0,0,0,0,0,0,0,0,0,0
truth,0,88,0,0,0,0,0,0,0,0,0,0
though,1,0,0,0,24,258,0,0,0,0,0,0
men,0,512,0,0,0,0,0,0,0,0,0,0
react,11,0,0,0,0,0,0,0,0,0,0,0
differently,0,0,0,0,8,0,0,0,0,0,0,0
different,0,0,0,206,0,0,0,0,0,0,0,0
treatment,0,92,0,0,0,0,0,0,0,0,0,0
Robert,0,66,0,0,0,0,0,0,0,0,0,0
E.,0,57,0,1,0,0,0,0,0,0,0,0
Lee,0,25,0,0,0,0,0,0,0,0,0,0
represented,40,0,0,0,0,0,0,0,0,0,0,0
dignity,0,27,0,0,0,0,0,0,0,0,0,0
needed,127,0,0,0,0,0,0,0,0,0,0,0
rebelling,3,0,0,0,0,0,0,0,0,0,0,0
confederacy,0,2,0,0,0,0,0,0,0,0,0,0
Heat,0,4,0,0,0,0,0,0,0,0,0,0
transfer,3,22,0,0,0,0,0,0,0,0,0,0
molecular,0,0,0,11,0,0,0,0,0,0,0,0
conduction,0,2,0,0,0,0,0,0,0,0,0,0
radiation,0,54,0,0,0,0,0,0,0,0,0,0
arc,0,27,0,0,0,0,0,0,0,0,0,0
column,0,35,0,0,0,0,0,0,0,0,0,0
accurate,0,0,0,22,0,0,0,0,0,0,0,0
base,3,45,0,4,0,0,0,0,0,0,0,0
maps,0,10,0,0,0,0,0,0,0,0,0,0
necessary,0,0,0,159,0,0,0,0,0,0,0,0
planning,54,27,0,0,0,0,0,0,0,0,0,0
program,5,260,0,0,0,0,0,0,0,0,1,0
step,13,79,0,0,0,0,0,0,0,0,0,0
division,0,47,0,0,0,0,0,0,0,0,0,0
implement,1,1,0,0,0,0,0,0,0,0,0,0
long-range,0,31,0,0,0,0,0,0,0,0,0,0
state,12,383,0,0,0,0,0,0,0,0,0,0
plan,17,124,0,0,0,0,0,0,0,0,0,0
prepare,22,0,0,0,0,0,0,0,0,0,0,0
two,0,0,0,0,0,0,0,0,912,0,0,0
series,0,95,0,0,0,0,0,0,0,0,0,0
inch,0,23,0,0,0,0,0,0,0,0,0,0
second,0,17,0,221,5,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,19,0,0,0
sheets,0,18,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,4,0,0,0
