word,contSpam,contHam
used,1,9
yo,1,27
bed,0,24
came,1,21
coins,0,3
factory,0,1
gotta,0,10
nitros,0,1
requests,1,2
started,0,9
download,2,8
ela,0,2
il,0,9
kano,0,5
wen,0,17
close,4,11
stand,0,6
afternoon,0,23
casualty,0,1
haven,1,18
includes,0,1
late,1,47
means,0,21
night,4,74
sheets,0,3
spent,0,7
stuff42moro,0,1
becoz,0,3
hurts,0,4
loves,0,5
pleasure,0,5
pours,0,1
rain,0,8
smile,0,23
smiling,0,8
sum1,0,1
trouble,0,7
0800,11,0
10am,5,0
169,1,0
5000,18,0
6031,1,0
9pm,1,2
guaranteed,38,0
representative,8,0
service,42,1
530,0,4
buy,3,42
havent,0,13
lido,0,3
planning,0,5
450ppw,2,0
5249,2,0
85069,2,0
92h,2,0
box,26,3
britney,2,0
collected,2,1
fml,2,2
mix,3,0
mk17,2,0
password,3,3
po,25,2
simply,2,2
usher,2,0
verify,3,0
abt,0,20
movie,2,16
telugu,0,2
loads,1,10
loans,1,1
appointment,0,4
cause,0,15
forgot,0,22
hairdressers,0,1
hols,2,1
prob,0,11
run,0,18
shower,0,6
wk,22,7
animation,0,1
coffee,0,8
ams,0,1
ave,2,4
legal,0,3
long,0,32
okay,0,22
price,13,5
4the,0,1
driving,1,13
gone,0,11
test,0,16
boston,0,2
changed,1,4
cuz,0,6
gave,0,6
guess,6,25
location,0,2
mean,0,16
men,2,4
nyc,0,2
page,1,5
says,0,18
search,2,13
signin,0,1
dear,13,72
life,3,47
lot,0,28
umma,0,6
vava,0,2
birthday,1,20
making,0,21
memorable,0,1
truly,2,2
wishes,0,6
aight,0,26
hit,3,8
address,4,14
computer,2,4
considering,0,2
ip,0,1
isn,0,13
minecraft,0,1
server,0,1
better,1,30
grumpy,0,1
jokes,0,3
lying,0,1
old,2,10
people,3,33
busy,0,16
worry,0,22
noun,0,2
plural,0,1
research,0,4
cos,0,50
loud,0,2
mah,0,10
scared,0,4
things,1,34
09064012160,2,0
12hrs,13,0
150ppm,27,0
contact,41,8
draw,30,5
gent,2,0
k52,2,0
shows,21,5
weekends,4,2
anythin,0,2
eatin,0,4
formal,0,1
haha,0,40
happened,0,11
juz,0,16
openin,0,1
puttin,0,1
sentence,0,3
tt,0,3
wa,0,2
weight,0,6
apartment,0,8
askd,0,11
boss,0,8
cabin,0,5
entered,6,5
felt,0,13
invited,4,6
went,0,42
0871277810910p,1,0
flights,5,0
holiday,22,10
min,26,18
operator,11,0
specially,7,0
friday,0,12
goodo,0,2
needed,0,3
potato,0,2
ratio,0,1
tortilla,0,2
directly,0,3
food,0,19
hmm,0,9
informed,2,3
paying,1,6
school,0,16
uncle,0,7
07742676969,2,0
08719180248,2,0
2004,5,0
45239,2,0
786,3,0
account,11,13
expires,9,0
identifier,9,0
points,9,3
private,10,1
statement,8,0
unredeemed,3,0
03,12,0
09064019788,1,0
2000,19,1
box42wr29c,1,0
caller,11,1
landline,24,2
apples,0,1
malarky,0,1
pairs,0,1
08712300220,4,0
350,7,0
4041,1,0
7548,1,0
app,3,2
award,15,1
ending,5,0
match,4,3
numbers,5,2
quoting,3,0
rates,5,0
standard,4,0
todays,13,3
voda,3,0
mu,0,13
sao,0,1
buying,0,4
predict,0,1
apologise,0,3
bother,0,5
hasn,0,3
imposed,0,1
involve,0,1
sending,0,8
sent,9,45
shouldn,0,5
yetunde,0,4
bak,0,7
del,5,1
girl,4,20
lucyxx,0,1
sum,0,2
accomodate,0,1
tmorrow,0,1
answer,6,11
82277,6,0
algarve,2,0
ansr,4,0
country,4,2
dvd,6,1
player,10,2
quiz,14,0
sony,5,1
sp,7,0
sunshine,7,1
tyrone,4,0
31p,2,0
69888,2,0
bt,11,12
direct,9,2
dogging,8,0
ec2a,5,0
gravel,1,0
join,15,8
laid,4,0
largest,4,0
locations,5,0
nt,1,15
txting,7,1
haf,0,15
hotmail,0,1
msn,0,1
yijue,0,5
activities,0,3
befor,0,2
rooms,1,3
69988,1,0
age,7,3
chat,31,10
hardcore,2,1
msgs,8,7
services,14,1
svc,1,0
yr,9,2
lazy,0,8
lect,0,7
pouch,0,2
type,0,12
mail,0,23
sir,1,29
biggest,2,1
coz,0,19
gud,0,45
hearts,0,2
little,1,19
lovable,0,9
ni8,0,8
nver,0,1
occupy,0,1
persons,0,6
somtimes,0,1
swt,0,3
tired,0,10
open,1,9
dot,2,1
ya,1,37
staff,0,3
taking,1,11
whats,1,11
08700621170150p,2,0
female,1,1
local,5,0
luv,5,21
netcollex,3,0
randy,2,0
replied,1,4
sexy,13,10
begin,1,4
hard,3,9
pray,0,6
qatar,0,4
ummma,0,1
deleted,0,3
birla,0,3
sindu,0,1
soft,0,3
flowing,0,2
nevering,0,1
wine,0,7
plaza,0,2
thk,0,39
typical,0,1
chores,0,1
dirt,0,1
dream,3,5
exist,0,1
floor,0,3
hail,0,1
joy,0,7
lots,1,13
mist,0,1
mouth,0,2
shirt,0,5
tv,8,22
windows,0,2
aaooooright,0,1
house,0,30
leaving,0,13
boy,0,13
interview,0,4
missing,0,10
07046744435,1,0
annoncement,1,0
arrange,2,2
years,7,9
0871277810810,2,0
envy,0,1
safe,0,8
hand,0,8
parents,0,10
excited,0,1
spend,0,8
32,1,0
434,2,0
62468,2,0
bootydelious,1,0
friend,6,28
frnd,1,7
inviting,1,0
bangb,1,0
bangbabes,1,0
content,10,1
goto,4,1
internet,1,3
menu,1,4
order,11,6
cultures,0,1
module,0,1
09061701939,1,0
s89,1,0
avoid,0,2
beloved,0,1
missunderstding,0,1
wit,0,9
bridge,0,1
escape,0,3
fancy,8,3
lager,0,1
needs,1,9
clark,0,2
completely,1,5
form,0,2
utter,0,2
waste,0,5
axis,0,1
bank,2,7
discuss,0,3
hmmm,0,10
hop,0,5
liao,0,25
muz,0,7
coming,0,33
begins,0,1
believe,1,12
bloody,0,3
clue,0,1
hell,0,5
ill,1,32
mr,1,7
spanish,0,1
surname,0,1
bath,0,9
carlos,0,14
mall,0,2
smoke,0,13
staying,0,5
til,0,18
turns,0,5
worth,11,4
doesnt,0,6
log,3,7
experience,0,6
maneesha,0,3
satisfied,0,3
spoke,0,5
toll,0,3
anyways,0,4
approaches,0,1
especially,0,5
gr8,6,9
hopes,0,1
lifted,0,1
offer,25,5
studying,0,5
trust,0,8
guys,5,22
bye,0,5
boytoy,0,11
finding,0,1
handsome,0,1
mummy,0,2
working,0,23
awesome,0,15
minute,5,8
0808,4,0
11pm,4,0
145,4,0
4742,4,0
9am,4,1
freephone,8,0
radio,0,2
xmas,10,6
bathe,0,9
finishes,0,3
jus,0,24
sis,0,14
using,1,4
30th,1,0
areyouunique,1,0
august,2,1
unique,1,2
deal,0,7
joined,2,5
league,0,1
personal,2,3
touch,1,14
completed,0,2
course,0,7
finally,1,9
able,0,18
ors,0,1
stays,0,2
stool,0,1
suggest,0,3
settled,0,4
wishin,0,2
hav,0,20
mrng,0,12
story,0,15
1pm,0,1
dead,0,7
hamster,0,1
mrt,0,5
orchard,0,7
tmr,0,21
babyjontet,0,1
evening,1,20
kate,0,6
enc,0,1
bucks,0,4
college,0,13
darlin,0,11
ive,0,6
balance,7,4
decimal,0,19
id,1,14
inr,0,2
keralacircle,0,2
kr,0,2
prepaid,0,2
refilled,0,2
rs,0,7
successfully,0,3
transaction,0,5
ga,0,1
goodmorning,0,14
sleeping,0,18
alter,0,1
dat,0,26
ericsson,0,1
oredi,0,13
oso,0,18
dats,0,1
dogg,0,1
straight,2,3
connection,0,2
refund,0,1
big,1,26
ready,3,26
shoot,0,4
break,3,10
bruv,0,2
rewarding,0,1
semester,0,6
study,0,7
leh,0,19
noe,0,16
sounds,1,12
heading,0,2
prediction,0,1
nights,1,3
past,0,6
slept,0,5
easy,9,12
sen,0,4
exam,0,7
march,0,11
atm,0,2
register,2,1
called,0,24
disk,0,1
files,0,4
important,6,9
installing,0,1
os,0,1
repair,0,1
shop,6,10
ubandu,0,1
happen,0,16
nite,0,12
romantic,1,3
scenery,0,1
087187262701,2,0
2optout,4,0
500,37,0
50gbp,2,0
89545,2,0
biz,4,0
collect,18,5
mtmsg18,2,0
tc,7,2
appreciate,0,6
aries,1,0
career,1,2
flyng,1,0
followed,2,0
horo,1,0
partner,5,0
sign,2,3
star,2,0
start,7,22
company,2,11
elama,0,1
mudyadhu,0,1
bcoz,0,10
conducts,0,1
lessons,0,7
strict,0,1
teacher,0,2
teaches,0,2
cross,2,1
gandhipuram,0,1
road,0,6
street,2,5
walk,1,11
rubber,0,1
battery,0,7
died,1,5
10p,18,0
25,3,1
flirt,4,1
pence,2,0
recd,4,0
sam,3,2
thirtyeight,1,0
printed,0,2
upstairs,0,2
closer,0,4
reach,5,21
wil,0,11
argue,0,2
argument,0,4
kick,3,4
loses,0,2
person,0,32
theory,0,3
wins,1,2
09058094597,1,0
447801259231,1,0
admirer,8,0
reveal,8,0
secret,8,4
thinks,8,4
case,0,13
hearing,0,1
laptop,0,12
tomarrow,0,2
avent,0,3
pleassssssseeeeee,0,1
sportsx,0,1
tel,1,9
meant,0,13
shining,0,2
signing,0,2
baig,0,1
face,0,12
fr,0,11
thanx,0,25
told,0,38
touched,0,3
watch,0,25
watches,0,1
commercial,0,2
slippers,0,3
website,1,4
asked,3,19
bat,0,2
innings,0,3
kallis,0,7
dearly,0,2
didnt,0,21
fix,0,3
goodnight,0,5
sleep,0,37
wake,0,20
125gift,2,0
87066,9,0
cd,5,1
com1win150ppmx3age16,3,0
congratulations,12,1
ldew,7,0
music,13,2
tncs,5,0
vouchers,16,0
5min,0,2
cal,1,5
deepak,0,1
deeraj,0,1
drpd,0,1
hold,0,11
ranjith,0,2
affection,0,4
angry,0,9
bcums,0,4
care,4,44
childish,0,5
deep,0,7
dnt,0,12
kettoda,0,4
manda,0,4
showing,0,7
true,2,17
wid,2,13
2wks,1,1
3days,0,1
bribe,0,1
lag,0,2
nipost,0,1
shipping,0,2
takes,3,8
ups,0,1
usps,0,1
lemme,0,5
expect,0,4
headin,0,2
necessarily,0,1
jolt,0,2
mmm,0,2
suzy,1,1
lover,2,7
750,14,0
anytime,10,2
handset,4,0
mins,25,6
networks,3,0
unlimited,7,4
video,23,2
mini,1,2
parked,0,3
disturb,0,8
shopping,5,15
0125698789,0,1
luton,0,1
ring,2,11
69698,1,0
horny,5,0
hot,13,5
naked,1,5
unsubscribe,13,0
dint,0,4
plan,0,20
sometme,0,1
wana,0,10
2wt,2,0
87070,1,0
box1146,1,0
choose,7,6
club,15,0
club4,1,0
club4mobiles,1,0
credits,7,0
mk45,2,0
evo,0,1
flash,0,2
jealous,0,2
charge,7,5
chart,2,0
quality,1,4
singles,5,0
narcotics,0,1
sorting,0,1
bay,0,3
blue,1,8
ended,0,5
leaves,0,8
rays,0,4
sunny,0,3
worries,0,7
100percent,2,0
86688,16,0
genuine,2,0
hmv,3,0
questions,5,5
bf,0,4
objection,0,1
gf,0,2
mack,0,1
rob,0,1
theater,0,1
celebrations,0,1
handed,0,2
swing,0,8
tool,0,2
definitely,1,5
gdeve,0,1
far,0,13
okie,0,12
ahold,0,1
anybody,0,5
guy,0,17
passed,0,3
throw,0,4
usual,0,8
lets,0,11
baby,1,21
cruisin,0,1
fone,3,4
hour,0,24
jenny,0,2
ge,0,7
edukkukayee,0,1
ollu,0,1
raksha,0,1
sense,0,6
shall,0,24
tonite,0,7
varunnathu,0,1
gautham,0,2
cam,1,2
stupid,0,5
buzy,0,3
accidentally,0,2
resend,0,1
021,2,0
0845,3,0
28thfeb,1,0
3680,2,0
card,3,9
ends,4,7
loyalty,7,0
phone,35,59
sim,2,2
upgrade,3,0
appropriate,0,1
gurl,0,1
unless,0,6
bslvyl,0,10
die,0,8
grave,0,1
hurt,0,14
plz,0,17
rose,0,5
tease,0,1
diesel,0,1
high,3,4
somebody,2,7
crash,0,1
def,0,3
imagine,0,5
scary,0,3
shit,0,26
shocking,0,1
taxi,0,2
fridge,0,1
meal,0,3
actor,0,2
womdarfull,0,1
21,2,1
4u,3,5
aberdeen,1,0
blind,1,0
dates,2,1
hide,1,0
icmb3cktz8r7,1,0
img,1,0
kingdom,1,0
rodds1,1,0
united,1,0
book,4,12
remb,0,1
jos,0,1
friendship,0,15
hanging,0,3
thread,0,2
82468,2,0
babes,2,1
fit,1,2
funky,1,1
games,9,0
gossip,1,1
newest,3,0
selection,3,0
sport,4,0
themob,4,0
tones,17,0
aren,0,3
bookshelf,0,1
garage,0,2
keys,0,2
accept,0,6
belovd,0,4
best1,0,3
bstfrnd,0,3
clos1,0,3
cutefrnd,0,3
dear1,0,3
enemy,0,4
jstfrnd,0,3
lifpartnr,0,3
lvblefrnd,0,3
sister,0,14
swtheart,0,3
200,9,0
3uz,2,0
84,1,0
85222,1,0
cs,38,0
gbp1,1,0
m26,2,0
smart,2,1
weekly,20,0
winnersclub,1,0
2day,4,4
lost,2,10
mylife,0,1
normal,1,7
rest,0,8
wot,0,16
advance,0,7
pongal,0,4
anot,0,2
dunno,0,26
kb,0,6
lo,0,2
power,0,5
tahan,0,2
yoga,0,4
afraid,1,2
dude,0,20
08002986906,2,0
11mths,6,0
december,3,0
cake,0,6
christmas,1,8
kisses,0,2
merry,0,8
buses,0,2
cud,0,4
gon,0,1
gona,0,2
l8,0,1
pete,1,5
ppl,0,4
waitin,0,3
bristol,0,2
flight,1,2
guild,0,1
plans,0,8
problem,0,22
reading,0,11
record,0,3
track,0,5
women,1,2
light,0,13
read,1,10
apo,0,1
immediately,4,5
return,1,3
0844,1,0
85,1,0
861,1,0
access,3,2
fixed,1,5
germany,1,0
line,27,7
number,20,42
prepayment,1,0
chance,22,10
employer,0,1
evaporated,0,1
paperwork,0,1
privacy,1,1
report,0,2
stealing,0,1
supervisor,0,3
violated,0,2
08718720201,6,0
83600,4,0
custcare,8,0
lifetime,2,1
rcvd,7,0
valentines,2,7
daaaaa,0,1
dined,0,1
wined,0,1
surfing,0,4
calling,3,13
1000s,3,1
bless,0,2
caroline,0,1
favourite,0,2
post,3,12
texts,14,8
wiv,2,5
hiding,0,1
stranger,0,3
interested,1,3
cleared,0,2
round,1,5
gudnite,0,3
practice,0,4
huiming,0,1
num,0,5
prestige,0,1
small,0,8
69876,1,0
sextextuk,1,0
shag,1,0
txts,10,0
xxuk,1,0
jeremiah,0,1
iphone,0,1
apeshit,0,1
basically,0,2
fault,0,6
misbehaved,0,2
slap,0,3
urself,0,6
alcohol,0,3
figure,0,6
jay,0,13
safely,0,1
weed,0,8
ago,0,11
ish,0,6
minutes,3,22
wtf,0,2
aig,0,1
allah,0,2
ex,0,7
insha,0,1
insurance,0,2
met,1,9
onam,0,1
rakhesh,0,7
remembered,0,3
sirji,0,1
tata,0,1
tayseer,0,2
tissco,0,2
08708800282,1,0
2lands,13,0
cc,5,0
currently,9,2
hg,10,0
maximize,6,0
row,14,2
suite342,13,0
w1j6hl,9,0
moment,0,6
unemployed,0,1
andrews,0,1
cold,0,6
posted,0,5
st,2,6
chikku,0,14
db,0,1
audrey,0,2
status,0,1
forward,0,6
air,0,6
alive,0,2
breathe,0,2
dawns,0,1
refreshed,0,1
08000839402,12,0
bluetooth,6,0
call2optout,9,0
f4q,1,0
mobileupd8,13,0
motorola,8,1
orange,19,3
sonyericsson,5,0
update_now,2,0
08717205546,1,0
discount,9,0
regalportfolio,1,0
rp176781,1,0
uniform,0,1
cuddling,0,2
geeee,0,4
wish,2,30
woke,0,8
spoil,0,1
agree,0,2
talking,0,8
willing,1,5
09057039994,1,0
gbp,3,0
reference,4,3
t91,1,0
recognise,0,2
seen,0,7
bars,0,1
happening,0,7
heron,0,1
lindsay,0,1
ptbo,0,2
sighs,0,5
brings,1,3
payasam,0,1
rinu,0,1
becaus,0,1
hes,0,2
mistake,1,6
prabu,0,1
project,0,10
taught,0,1
verifying,0,1
body,0,6
followin,0,1
guide,0,4
ovulation,0,2
quite,0,27
reason,0,10
relax,0,2
repairs,0,1
slow,1,6
tests,0,3
couple,0,9
wallet,0,1
leave,2,35
945,0,1
6months,1,1
n9dx,1,0
phones,9,1
licks,0,2
owl,0,1
mm,0,8
08000938767,3,0
4mths,3,0
mobilesdirect,3,0
or2stoptxt,3,0
rental,9,0
having,0,33
huh,0,15
intro,0,3
kickboxing,0,1
pilates,0,3
sat,1,21
days,8,22
lap,0,1
office,1,23
shut,0,1
30ish,0,2
bout,1,13
calculated,0,1
current,1,2
performance,0,1
period,0,2
actually,0,25
rock,1,8
ass,0,11
business,0,1
facebook,0,6
picture,1,2
pictures,0,4
putting,0,5
al,0,7
god,1,29
grace,0,1
india,0,9
inshah,0,1
salam,0,1
sharing,0,1
visitor,0,1
wahleykkum,0,1
administrator,0,1
change,0,19
field,0,2
quickly,0,3
150pw,1,0
1st,19,7
2814032,1,0
3x,1,0
87131,2,0
nd,1,2
poly,11,0
tone,31,0
chechi,0,2
cream,0,2
shipped,0,1
burning,0,2
loxahatchee,0,2
starts,4,5
tree,0,4
yep,0,9
stoners,0,1
darlings,0,1
disastrous,0,1
fav,1,1
pm,4,6
slightly,0,1
stay,3,16
wld,0,2
drink,0,12
busetop,0,1
fullonsms,0,5
sender,1,2
iron,0,1
thing,1,41
blah,0,1
den,0,20
jiu,0,4
okies,0,1
skip,0,1
yan,0,4
bring,0,17
wendy,0,1
09064012103,1,0
box334sk38ch,1,0
dating,13,0
whatsup,0,2
goal,0,1
250,14,0
80086,2,0
competition,3,2
txttowin,2,0
head,0,16
07123456789,2,0
adam,2,0
ads,2,0
eve,3,9
heart,2,28
logo,4,0
mobno,2,0
name1,2,0
name2,2,0
names,2,1
pobox36504w45wq,5,0
txtno,2,0
yahoo,2,6
09111032124,1,0
contacted,5,0
pobox12n146tf150p,1,0
aha,0,3
hostel,0,4
siva,0,1
09058094455,1,0
3030,5,0
land,15,0
attitude,0,1
attractive,0,1
expression,0,2
ful,0,2
funny,0,8
irritating,0,2
rowdy,0,1
sentiment,0,1
speaking,0,2
voice,0,7
aathi,0,6
urination,0,1
esplanade,0,2
giving,0,5
lift,0,5
mind,1,32
amt,0,3
arng,0,2
bmw,0,2
hv,0,3
lacs,0,2
shortage,0,2
source,0,2
urgently,0,2
vry,0,4
wnt,0,5
fucking,0,12
respond,1,2
09066382422,2,0
300603,2,0
3650,2,0
3mins,3,0
bcm4284,2,0
ldn,9,0
vary,6,0
wc1n3xx,4,0
booked,0,8
ticket,0,3
hillsborough,0,1
th,0,9
askin,0,4
dollars,0,4
shoul,0,1
iouri,0,1
applebees,0,1
gd,0,12
journey,0,3
bhaji,0,2
cricketer,0,2
sachin,0,3
tough,0,6
supposed,0,7
din,0,6
group,0,5
oic,0,3
tot,0,12
doin,0,10
foundurself,0,1
gorgeous,0,3
howdy,0,1
howu,0,1
jen,0,3
jobyet,0,1
monkeespeople,0,1
monkeyaround,0,1
sausage,0,1
werethe,0,1
blimey,0,1
exercise,0,1
kinda,1,8
concentration,0,1
hanks,0,1
lotsly,0,1
acc,0,5
transfer,0,2
improve,0,1
optimistic,0,1
1956669,3,0
75,3,0
homeowners,3,0
loan,4,5
previously,3,0
purpose,4,0
refused,4,0
tenants,4,0
welcome,7,4
oreo,0,2
si,0,2
truffles,0,2
amy,0,1
beautiful,0,15
intelligent,0,3
ure,0,4
woman,1,3
asking,0,9
consistently,0,1
ears,0,1
kind,0,10
links,0,1
practicum,0,1
result,0,3
ttyl,0,5
bad,1,21
isnt,0,4
coping,0,2
decisions,0,2
different,0,5
feeling,2,15
heal,0,1
individual,0,2
wavering,0,1
gives,0,5
reasons,0,2
0207,2,0
153,2,0
26th,1,1
9153,1,0
july,2,1
opt,14,0
upgrdcentre,1,0
railway,0,3
doggy,0,3
enjoy,8,19
fave,0,3
oral,0,1
position,0,2
princess,0,25
receiving,2,1
style,0,6
roads,0,3
slippery,0,1
bike,0,1
language,0,1
09061743806,2,0
box326,2,0
cw25wx,4,0
dave,2,1
notice,3,3
okmail,1,0
sae,13,0
tcs,3,0
tenerife,7,0
screamed,0,2
9ja,0,2
banks,0,2
charges,1,2
details,5,12
differ,0,1
enters,0,1
flat,0,4
remove,2,5
removed,1,1
transfered,0,2
69888nyt,1,0
moan,1,5
9t,0,2
broken,0,2
cum,5,6
infront,0,1
wise,0,2
machi,0,1
tension,0,1
8th,0,5
