,contSpam,contHam
pobox,0.0214190093708166,0.0
urgent,0.08299866131191433,0.001450777202072539
won,0.10174029451137885,0.003937823834196891
www,0.13119143239625167,0.0004145077720207254
blessing,0.0,0.0004145077720207254
breather,0.0,0.0002072538860103627
fulfil,0.0,0.0002072538860103627
granted,0.0,0.0002072538860103627
help,0.025435073627844713,0.007461139896373057
promise,0.0,0.0016580310880829016
right,0.004016064257028112,0.017202072538860105
searching,0.0,0.0010362694300518134
thank,0.0013386880856760374,0.005803108808290156
times,0.0,0.0051813471502590676
wonderful,0.0,0.0031088082901554403
wont,0.0,0.006839378238341969
words,0.0,0.004559585492227979
date,0.012048192771084338,0.0022797927461139897
sunday,0.0,0.0022797927461139897
click,0.00535475234270415,0.0004145077720207254
com,0.07228915662650602,0.0031088082901554403
credit,0.012048192771084338,0.0010362694300518134
http,0.028112449799196786,0.0
link,0.008032128514056224,0.0008290155440414508
message,0.041499330655957165,0.012849740932642488
qjkgighjjgcbl,0.0013386880856760374,0.0
use,0.012048192771084338,0.008082901554404146
wap,0.0107095046854083,0.0
xxxmobilemovieclub,0.0013386880856760374,0.0
oh,0.0013386880856760374,0.022590673575129533
watching,0.0,0.007046632124352332
did,0.002677376171352075,0.024248704663212436
eh,0.0,0.002487046632124352
make,0.01740294511378849,0.01782383419689119
naughty,0.0,0.001450777202072539
remember,0.0,0.006632124352331606
spell,0.0,0.000621761658031088
wet,0.002677376171352075,0.000621761658031088
yes,0.028112449799196786,0.01699481865284974
feel,0.0,0.011606217616580311
fine,0.0,0.010362694300518135
gota,0.0,0.0002072538860103627
way,0.0013386880856760374,0.019896373056994817
4txt,0.002677376171352075,0.0
87077,0.006693440428380187,0.0
dont,0.01606425702811245,0.026321243523316062
england,0.0107095046854083,0.0002072538860103627
goals,0.002677376171352075,0.0
macedonia,0.0013386880856760374,0.0
miss,0.009370816599732263,0.013678756476683937
national,0.029451137884872823,0.0
news,0.013386880856760375,0.0018652849740932642
poboxox36504w45wq,0.0013386880856760374,0.0
scotland,0.0013386880856760374,0.0004145077720207254
team,0.004016064257028112,0.000621761658031088
try,0.009370816599732263,0.00932642487046632
ur,0.15261044176706828,0.04062176165803109
wales,0.0013386880856760374,0.0004145077720207254
ú1,0.0013386880856760374,0.0
seriously,0.0,0.0018652849740932642
going,0.00535475234270415,0.033782383419689116
ha,0.0,0.002072538860103627
comin,0.0,0.0022797927461139897
da,0.0,0.0277720207253886
pay,0.0013386880856760374,0.005595854922279792
stock,0.0,0.0010362694300518134
aft,0.0,0.003937823834196891
ard,0.0,0.004352331606217617
finish,0.0,0.008290155440414507
lor,0.0,0.03005181347150259
lunch,0.0,0.008082901554404146
smth,0.0,0.0031088082901554403
str,0.0013386880856760374,0.000621761658031088
alright,0.0,0.004974093264248704
ffffffffff,0.0,0.0002072538860103627
meet,0.0107095046854083,0.014922279792746114
sooner,0.0,0.0008290155440414508
eat,0.0,0.007253886010362694
forced,0.0,0.0002072538860103627
getting,0.00535475234270415,0.00932642487046632
hungry,0.0013386880856760374,0.002487046632124352
just,0.10575635876840696,0.05927461139896373
knows,0.0013386880856760374,0.0018652849740932642
lol,0.0,0.01533678756476684
mark,0.0,0.0016580310880829016
pizza,0.0,0.0016580310880829016
really,0.0013386880856760374,0.01699481865284974
sick,0.0,0.0018652849740932642
slice,0.0,0.0004145077720207254
sucks,0.0,0.001450777202072539
tho,0.0,0.0037305699481865284
turn,0.0013386880856760374,0.000621761658031088
worried,0.0,0.002072538860103627
convincing,0.0,0.0004145077720207254
bus,0.0,0.006010362694300518
catch,0.0,0.0018652849740932642
dinner,0.0,0.007461139896373057
eating,0.0,0.001450777202072539
egg,0.0,0.0010362694300518134
frying,0.0,0.0004145077720207254
left,0.0013386880856760374,0.006424870466321244
love,0.0107095046854083,0.035233160621761656
mom,0.0,0.0031088082901554403
tea,0.0,0.001450777202072539
amp,0.0,0.014715025906735752
car,0.0,0.00849740932642487
know,0.028112449799196786,0.04683937823834197
let,0.00535475234270415,0.015129533678756477
ll,0.00535475234270415,0.052642487046632123
packing,0.0,0.0002072538860103627
room,0.0,0.006839378238341969
ahhh,0.0,0.0002072538860103627
does,0.004016064257028112,0.005803108808290156
vaguely,0.0,0.0002072538860103627
work,0.004016064257028112,0.019689119170984457
clear,0.0,0.000621761658031088
doesn,0.0,0.003937823834196891
live,0.0321285140562249,0.003523316062176166
sarcastic,0.0,0.0004145077720207254
sure,0.0,0.014093264248704664
wait,0.002677376171352075,0.01305699481865285
actin,0.0,0.0002072538860103627
apologetic,0.0,0.0002072538860103627
badly,0.0,0.0002072538860103627
caught,0.0,0.000621761658031088
cheers,0.0,0.0016580310880829016
child,0.0013386880856760374,0.000621761658031088
doing,0.0,0.018238341968911918
fallen,0.0,0.0002072538860103627
spoilt,0.0,0.0002072538860103627
till,0.004016064257028112,0.0037305699481865284
yeah,0.0013386880856760374,0.017616580310880828
tell,0.0214190093708166,0.0244559585492228
cuppa,0.0,0.0002072538860103627
fainting,0.0,0.0002072538860103627
fear,0.0,0.000621761658031088
housework,0.0,0.0002072538860103627
quick,0.0,0.0016580310880829016
charged,0.014725568942436412,0.0
confirm,0.0013386880856760374,0.0022797927461139897
month,0.0107095046854083,0.005803108808290156
replying,0.008032128514056224,0.0004145077720207254
ringtone,0.038821954484605084,0.0
subscription,0.006693440428380187,0.0
thanks,0.020080321285140562,0.0122279792746114
uk,0.09370816599732262,0.0002072538860103627
2nd,0.02677376171352075,0.002072538860103627
8am,0.0,0.0004145077720207254
learn,0.002677376171352075,0.0010362694300518134
lesson,0.0,0.003523316062176166
look,0.004016064257028112,0.005803108808290156
msg,0.07095046854082998,0.010984455958549223
timings,0.0,0.0002072538860103627
xuhui,0.0,0.000621761658031088
yup,0.0,0.008911917098445596
oops,0.0,0.002072538860103627
roommate,0.0,0.0010362694300518134
letter,0.0,0.0008290155440414508
decide,0.0,0.0018652849740932642
decided,0.0,0.003316062176165803
hello,0.00535475234270415,0.008290155440414507
invite,0.0,0.000621761658031088
saturday,0.009370816599732263,0.0018652849740932642
texting,0.0013386880856760374,0.0010362694300518134
tomo,0.0,0.003937823834196891
trying,0.020080321285140562,0.005803108808290156
abiola,0.0,0.0022797927461139897
ahead,0.0,0.001450777202072539
pls,0.014725568942436412,0.020518134715025907
wanted,0.0013386880856760374,0.0051813471502590676
watts,0.0,0.0002072538860103627
weekend,0.0107095046854083,0.004974093264248704
arabian,0.0,0.0002072538860103627
crave,0.0,0.0022797927461139897
forget,0.002677376171352075,0.002901554404145078
mmmmmm,0.0,0.0004145077720207254
need,0.012048192771084338,0.03170984455958549
steed,0.0,0.0002072538860103627
sweet,0.0,0.007461139896373057
yummy,0.0,0.000621761658031088
07732584351,0.0013386880856760374,0.0
08000930705,0.0214190093708166,0.0
burns,0.0013386880856760374,0.0002072538860103627
camcorder,0.020080321285140562,0.0
delivery,0.02677376171352075,0.0002072538860103627
nokia,0.06693440428380187,0.000621761658031088
rodger,0.0013386880856760374,0.0
sms,0.04685408299866131,0.004145077720207254
tomorrow,0.013386880856760375,0.016580310880829015
tried,0.022757697456492636,0.0010362694300518134
seeing,0.0,0.002901554404145078
endowed,0.0,0.0002072538860103627
gt,0.0,0.05015544041450777
hope,0.00535475234270415,0.02238341968911917
inches,0.0,0.0008290155440414508
lt,0.0,0.05015544041450777
man,0.002677376171352075,0.009119170984455959
calls,0.0214190093708166,0.002487046632124352
messages,0.01606425702811245,0.002487046632124352
missed,0.002677376171352075,0.004559585492227979
didn,0.0,0.009740932642487047
hep,0.0,0.0002072538860103627
immunisation,0.0,0.0002072538860103627
nigeria,0.0,0.0016580310880829016
fair,0.0,0.000621761658031088
ask,0.0,0.017202072538860105
bit,0.0,0.00932642487046632
hopefully,0.0,0.0010362694300518134
maybe,0.002677376171352075,0.006010362694300518
tyler,0.0,0.001243523316062176
hospital,0.0,0.002072538860103627
hospitals,0.0,0.0004145077720207254
kept,0.004016064257028112,0.0008290155440414508
stubborn,0.0,0.0002072538860103627
sucker,0.0,0.0002072538860103627
suckers,0.0,0.0002072538860103627
telling,0.0,0.002487046632124352
weak,0.0,0.0008290155440414508
class,0.0013386880856760374,0.00849740932642487
saw,0.0,0.004974093264248704
thinked,0.0,0.0002072538860103627
time,0.025435073627844713,0.039585492227979274
eighth,0.0,0.0004145077720207254
gets,0.0,0.0022797927461139897
gram,0.0,0.0004145077720207254
half,0.01740294511378849,0.00538860103626943
runs,0.0,0.000621761658031088
second,0.0,0.003523316062176166
smarter,0.0,0.0002072538860103627
usually,0.0,0.001243523316062176
crashing,0.0,0.0002072538860103627
fyi,0.0,0.001243523316062176
morning,0.0,0.015751295336787565
place,0.006693440428380187,0.011398963730569948
ride,0.0,0.0010362694300518134
accomodations,0.0,0.0002072538860103627
best,0.012048192771084338,0.00766839378238342
cave,0.0,0.0002072538860103627
embarassed,0.0,0.000621761658031088
embarassing,0.0,0.0002072538860103627
happy,0.0013386880856760374,0.017616580310880828
liked,0.0,0.001450777202072539
offered,0.0,0.0002072538860103627
realized,0.0,0.000621761658031088
sorry,0.004016064257028112,0.03067357512953368
thought,0.0013386880856760374,0.00932642487046632
wow,0.002677376171352075,0.002072538860103627
ac,0.014725568942436412,0.0
correct,0.00535475234270415,0.0016580310880829016
detroit,0.0013386880856760374,0.0002072538860103627
devils,0.0013386880856760374,0.0
end,0.013386880856760375,0.005595854922279792
hockey,0.0013386880856760374,0.0002072538860103627
ice,0.0013386880856760374,0.0016580310880829016
incorrect,0.0013386880856760374,0.0
jersey,0.0013386880856760374,0.0
new,0.09103078982597054,0.013471502590673576
play,0.024096385542168676,0.004352331606217617
red,0.004016064257028112,0.001450777202072539
sptv,0.0013386880856760374,0.0
wings,0.0013386880856760374,0.0
mallika,0.0,0.0002072538860103627
sherawat,0.0,0.0002072538860103627
url,0.0,0.0008290155440414508
yesterday,0.004016064257028112,0.004352331606217617
09061209465,0.004016064257028112,0.0
150pm,0.008032128514056224,0.0
5we,0.0107095046854083,0.0
bx420,0.009370816599732263,0.0
cinema,0.004016064257028112,0.0010362694300518134
congrats,0.013386880856760375,0.0018652849740932642
ip4,0.0107095046854083,0.0
matrix3,0.004016064257028112,0.0
pass,0.006693440428380187,0.001450777202072539
special,0.025435073627844713,0.0062176165803108805
starwars3,0.004016064257028112,0.0
suprman,0.004016064257028112,0.0
year,0.008032128514056224,0.008704663212435234
later,0.0,0.027357512953367875
meeting,0.0,0.008911917098445596
reached,0.0,0.002072538860103627
gauti,0.0,0.0002072538860103627
odi,0.0,0.0004145077720207254
sehwag,0.0,0.0002072538860103627
series,0.0,0.0008290155440414508
burger,0.0013386880856760374,0.0002072538860103627
killing,0.0,0.0004145077720207254
pain,0.0,0.005595854922279792
pick,0.002677376171352075,0.014300518134715026
girls,0.006693440428380187,0.0022797927461139897
good,0.014725568942436412,0.04601036269430052
joke,0.0,0.001450777202072539
seekers,0.0,0.0002072538860103627
situation,0.0,0.0018652849740932642
checking,0.0,0.0022797927461139897
iq,0.0,0.0008290155440414508
come,0.002677376171352075,0.04455958549222798
forever,0.0,0.002072538860103627
roommates,0.0,0.000621761658031088
took,0.0,0.003937823834196891
check,0.00535475234270415,0.007253886010362694
cut,0.0,0.0022797927461139897
double,0.01740294511378849,0.001243523316062176
dresser,0.0,0.000621761658031088
hair,0.0,0.004352331606217617
nice,0.0,0.0122279792746114
said,0.0,0.016580310880829015
short,0.0,0.0018652849740932642
wun,0.0,0.001450777202072539
09066364589,0.002677376171352075,0.0
1500,0.004016064257028112,0.0
advise,0.004016064257028112,0.0
awarded,0.050870147255689425,0.0
bonus,0.028112449799196786,0.0
following,0.006693440428380187,0.0004145077720207254
mob,0.03346720214190094,0.0
pleased,0.004016064257028112,0.000621761658031088
recent,0.004016064257028112,0.0
review,0.00535475234270415,0.0004145077720207254
dedicate,0.0,0.0004145077720207254
dedicated,0.0,0.0004145077720207254
frnds,0.0,0.002901554404145078
rply,0.006693440428380187,0.001243523316062176
song,0.004016064257028112,0.001450777202072539
valuable,0.0,0.000621761658031088
10,0.03480589022757698,0.002694300518134715
1000,0.05488621151271754,0.0
18,0.06827309236947791,0.0
3aj,0.002677376171352075,0.0
aco,0.002677376171352075,0.0
complimentary,0.01606425702811245,0.0
dis,0.002677376171352075,0.0051813471502590676
entry41,0.002677376171352075,0.0
eurodisinc,0.002677376171352075,0.0
ls1,0.002677376171352075,0.0
morefrmmob,0.002677376171352075,0.0
shracomorsglsuplt,0.002677376171352075,0.0
trav,0.002677376171352075,0.0
trip,0.00535475234270415,0.003316062176165803
barbie,0.0013386880856760374,0.0
comes,0.004016064257028112,0.003523316062176166
divorce,0.0013386880856760374,0.0002072538860103627
hear,0.004016064257028112,0.005803108808290156
ken,0.0013386880856760374,0.0
plane,0.0,0.000621761658031088
hee,0.0,0.002694300518134715
lucky,0.0107095046854083,0.0018652849740932642
money,0.004016064257028112,0.010984455958549223
save,0.004016064257028112,0.001450777202072539
wah,0.0,0.0008290155440414508
finished,0.0,0.003937823834196891
babe,0.009370816599732263,0.014300518134715026
hi,0.022757697456492636,0.021347150259067357
im,0.009370816599732263,0.014715025906735752
wanna,0.013386880856760375,0.005803108808290156
xx,0.00535475234270415,0.002901554404145078
performed,0.0,0.0002072538860103627
machan,0.0,0.0008290155440414508
waiting,0.022757697456492636,0.007253886010362694
cool,0.002677376171352075,0.008290155440414507
dignity,0.0,0.000621761658031088
gentleman,0.0,0.000621761658031088
respect,0.0,0.0010362694300518134
thats,0.0,0.008911917098445596
pa,0.0,0.006010362694300518
peoples,0.0,0.0002072538860103627
shy,0.0013386880856760374,0.0004145077720207254
operate,0.0,0.0002072538860103627
earn,0.0,0.0004145077720207254
job,0.0,0.008911917098445596
looking,0.012048192771084338,0.004145077720207254
ta,0.0013386880856760374,0.001243523316062176
ah,0.0,0.007461139896373057
stop,0.13654618473895583,0.007461139896373057
urgnt,0.0,0.0010362694300518134
jacket,0.0,0.0004145077720207254
multis,0.0,0.0002072538860103627
real,0.020080321285140562,0.004974093264248704
tickets,0.004016064257028112,0.001450777202072539
used,0.0013386880856760374,0.002901554404145078
yo,0.0013386880856760374,0.006632124352331606
bed,0.0,0.006010362694300518
came,0.0013386880856760374,0.00538860103626943
coins,0.0,0.000621761658031088
factory,0.0,0.0002072538860103627
gotta,0.0,0.002487046632124352
nitros,0.0,0.0004145077720207254
requests,0.0013386880856760374,0.0004145077720207254
started,0.0013386880856760374,0.0037305699481865284
download,0.004016064257028112,0.0016580310880829016
ela,0.0,0.0004145077720207254
il,0.0,0.002072538860103627
kano,0.0,0.001243523316062176
wen,0.0,0.004974093264248704
close,0.00535475234270415,0.002901554404145078
stand,0.0,0.0016580310880829016
afternoon,0.0,0.005803108808290156
casualty,0.0,0.0002072538860103627
haven,0.0013386880856760374,0.004974093264248704
includes,0.0,0.0002072538860103627
late,0.0013386880856760374,0.011606217616580311
means,0.0,0.00538860103626943
night,0.008032128514056224,0.021347150259067357
sheets,0.0,0.000621761658031088
spent,0.0,0.0016580310880829016
stuff42moro,0.0,0.0002072538860103627
becoz,0.0,0.0008290155440414508
hurts,0.0,0.0016580310880829016
loves,0.0,0.0016580310880829016
pleasure,0.0,0.001450777202072539
pours,0.0,0.0004145077720207254
rain,0.0,0.0018652849740932642
smile,0.0,0.007046632124352332
smiling,0.0,0.003316062176165803
sum1,0.0,0.000621761658031088
trouble,0.0,0.0016580310880829016
0800,0.01740294511378849,0.0
10am,0.009370816599732263,0.0
169,0.002677376171352075,0.0
5000,0.03346720214190094,0.0
6031,0.002677376171352075,0.0
9pm,0.002677376171352075,0.0004145077720207254
guaranteed,0.06693440428380187,0.0
representative,0.013386880856760375,0.0
service,0.07228915662650602,0.0008290155440414508
530,0.0,0.0010362694300518134
buy,0.006693440428380187,0.011813471502590673
havent,0.0,0.004974093264248704
lido,0.0,0.000621761658031088
planning,0.0,0.0016580310880829016
450ppw,0.002677376171352075,0.0
5249,0.002677376171352075,0.0
85069,0.002677376171352075,0.0
92h,0.002677376171352075,0.0
box,0.04417670682730924,0.0010362694300518134
britney,0.002677376171352075,0.0
collected,0.002677376171352075,0.0002072538860103627
fml,0.002677376171352075,0.0004145077720207254
mix,0.004016064257028112,0.0
mk17,0.002677376171352075,0.0
password,0.004016064257028112,0.0008290155440414508
po,0.0428380187416332,0.000621761658031088
simply,0.004016064257028112,0.000621761658031088
usher,0.002677376171352075,0.0
verify,0.004016064257028112,0.0
abt,0.0,0.004974093264248704
movie,0.002677376171352075,0.0037305699481865284
telugu,0.0,0.0004145077720207254
loads,0.0013386880856760374,0.0022797927461139897
loans,0.0013386880856760374,0.0002072538860103627
appointment,0.0,0.0008290155440414508
cause,0.0,0.0037305699481865284
forgot,0.0,0.006632124352331606
hairdressers,0.0,0.0002072538860103627
hols,0.002677376171352075,0.0004145077720207254
prob,0.0,0.003316062176165803
run,0.0,0.004766839378238342
shower,0.0,0.0022797927461139897
wk,0.03346720214190094,0.0016580310880829016
animation,0.0013386880856760374,0.0002072538860103627
coffee,0.0,0.0018652849740932642
ams,0.0,0.0002072538860103627
ave,0.004016064257028112,0.0010362694300518134
legal,0.0,0.0008290155440414508
long,0.0,0.008704663212435234
okay,0.0,0.005595854922279792
price,0.022757697456492636,0.0016580310880829016
4the,0.0,0.0002072538860103627
driving,0.0013386880856760374,0.004145077720207254
gone,0.0,0.003316062176165803
test,0.0,0.004352331606217617
boston,0.0,0.000621761658031088
changed,0.0013386880856760374,0.0010362694300518134
cuz,0.0,0.001450777202072539
gave,0.0,0.002072538860103627
guess,0.009370816599732263,0.006424870466321244
location,0.0,0.0004145077720207254
mean,0.0,0.004145077720207254
men,0.002677376171352075,0.001450777202072539
nyc,0.0,0.0008290155440414508
page,0.0013386880856760374,0.001243523316062176
says,0.0,0.00538860103626943
search,0.002677376171352075,0.0031088082901554403
signin,0.0,0.0002072538860103627
dear,0.0214190093708166,0.019689119170984457
life,0.004016064257028112,0.013264248704663213
lot,0.0,0.008082901554404146
umma,0.0,0.001450777202072539
vava,0.0,0.000621761658031088
birthday,0.0013386880856760374,0.005803108808290156
making,0.0,0.004766839378238342
memorable,0.0,0.0002072538860103627
truly,0.004016064257028112,0.0004145077720207254
wishes,0.0,0.0016580310880829016
aight,0.0,0.006839378238341969
hit,0.00535475234270415,0.0022797927461139897
address,0.00535475234270415,0.0037305699481865284
computer,0.006693440428380187,0.001450777202072539
considering,0.0,0.0008290155440414508
ip,0.0,0.0002072538860103627
isn,0.0,0.002901554404145078
minecraft,0.0,0.0002072538860103627
server,0.0,0.0002072538860103627
better,0.0013386880856760374,0.00849740932642487
grumpy,0.0,0.0002072538860103627
jokes,0.0,0.0008290155440414508
lying,0.0,0.0002072538860103627
old,0.002677376171352075,0.0037305699481865284
people,0.004016064257028112,0.009533678756476684
busy,0.002677376171352075,0.003937823834196891
worry,0.0,0.004766839378238342
noun,0.0,0.0004145077720207254
plural,0.0,0.0002072538860103627
research,0.0,0.0008290155440414508
cos,0.0,0.015129533678756477
loud,0.0,0.000621761658031088
mah,0.0,0.002487046632124352
scared,0.0,0.0010362694300518134
things,0.002677376171352075,0.00932642487046632
09064012160,0.002677376171352075,0.0
12hrs,0.022757697456492636,0.0
150ppm,0.04551539491298527,0.0
contact,0.0749665327978581,0.002487046632124352
draw,0.05220883534136546,0.0010362694300518134
gent,0.002677376171352075,0.0
k52,0.004016064257028112,0.0
shows,0.041499330655957165,0.0010362694300518134
weekends,0.006693440428380187,0.000621761658031088
anythin,0.0,0.000621761658031088
eatin,0.0,0.001243523316062176
formal,0.0,0.0002072538860103627
haha,0.0,0.010155440414507772
happened,0.0,0.003316062176165803
juz,0.0,0.004974093264248704
openin,0.0,0.0002072538860103627
puttin,0.0,0.0004145077720207254
sentence,0.0,0.000621761658031088
tt,0.0,0.0008290155440414508
wa,0.0,0.000621761658031088
weight,0.0,0.001450777202072539
apartment,0.0,0.0016580310880829016
askd,0.0,0.002487046632124352
boss,0.0,0.0018652849740932642
cabin,0.0,0.0010362694300518134
entered,0.008032128514056224,0.0010362694300518134
felt,0.0,0.002694300518134715
invited,0.006693440428380187,0.0016580310880829016
went,0.0,0.010984455958549223
0871277810910p,0.0013386880856760374,0.0
flights,0.008032128514056224,0.0
holiday,0.0428380187416332,0.0031088082901554403
min,0.049531459170013385,0.004974093264248704
operator,0.020080321285140562,0.0
specially,0.012048192771084338,0.0
friday,0.0,0.0031088082901554403
goodo,0.0,0.0004145077720207254
needed,0.0,0.0008290155440414508
potato,0.0,0.0004145077720207254
ratio,0.0,0.0002072538860103627
tortilla,0.0,0.0004145077720207254
directly,0.0,0.001243523316062176
food,0.0,0.004559585492227979
hmm,0.0,0.002901554404145078
informed,0.002677376171352075,0.0008290155440414508
paying,0.0013386880856760374,0.001450777202072539
school,0.0,0.0051813471502590676
uncle,0.0,0.002487046632124352
07742676969,0.002677376171352075,0.0
08719180248,0.002677376171352075,0.0
2004,0.0107095046854083,0.0
45239,0.004016064257028112,0.0
786,0.00535475234270415,0.0
account,0.025435073627844713,0.003316062176165803
expires,0.022757697456492636,0.0
identifier,0.0214190093708166,0.0
points,0.0214190093708166,0.0008290155440414508
private,0.024096385542168676,0.0002072538860103627
statement,0.0214190093708166,0.0002072538860103627
unredeemed,0.00535475234270415,0.0
03,0.01740294511378849,0.0
09064019788,0.0013386880856760374,0.0
2000,0.0321285140562249,0.0002072538860103627
box42wr29c,0.0013386880856760374,0.0
caller,0.01606425702811245,0.0002072538860103627
landline,0.0428380187416332,0.0004145077720207254
apples,0.0,0.0002072538860103627
malarky,0.0,0.0002072538860103627
pairs,0.0,0.0002072538860103627
08712300220,0.008032128514056224,0.0
350,0.014725568942436412,0.0
4041,0.0013386880856760374,0.0
7548,0.0013386880856760374,0.0
app,0.00535475234270415,0.0004145077720207254
award,0.025435073627844713,0.0002072538860103627
ending,0.0107095046854083,0.0002072538860103627
match,0.008032128514056224,0.0010362694300518134
numbers,0.012048192771084338,0.0008290155440414508
quoting,0.006693440428380187,0.0
rates,0.012048192771084338,0.0002072538860103627
standard,0.008032128514056224,0.0
todays,0.022757697456492636,0.0008290155440414508
voda,0.006693440428380187,0.0
mu,0.0,0.002901554404145078
sao,0.0,0.0002072538860103627
buying,0.0,0.0016580310880829016
predict,0.0,0.0002072538860103627
apologise,0.0,0.000621761658031088
bother,0.0,0.001450777202072539
hasn,0.0,0.0008290155440414508
imposed,0.0,0.0002072538860103627
involve,0.0,0.0002072538860103627
sending,0.002677376171352075,0.002072538860103627
