id,text,screen_name,created_at,retweet_count,favorite_count,friends_count,followers_count,lang,country,sentiment
"1,25E+18",COVID-19: Trump Talks Retaliation If India Rejects Export Of Key Drug - NDTV,adonishai,Tue Apr 07 04:11:38 +0000 2020,0,0,174,21,en,India,neutral
"1,25E+18",@d00ditsmarc Hey @coldplay cure us with your music from this COVID-19 đŸ¤™đŸ¤,trinhlha_,Tue Apr 07 04:11:47 +0000 2020,0,0,79,87,en,United States,positive
"1,25E+18",We're talking billions for millions of people. I hope no banking collapse will happen. #COVID19,akosihadee,Tue Apr 07 04:11:51 +0000 2020,0,0,273,27,en,Republic of the Philippines,neutral
"1,25E+18",@realDonaldTrump knew about coronavirus since January 29th. #TrumpLiesAmericansDie,KLE1967,Tue Apr 07 04:12:03 +0000 2020,0,0,5001,1596,en,United States,negative
"1,25E+18",I hope I can lucid dream my way outta quarantine #COVID19,Peteypooze,Tue Apr 07 04:12:04 +0000 2020,0,0,567,372,en,United States,positive
"1,25E+18",@Target please stop or limit your curb side pickup. @FoxNews #COVID19,rqBond3,Tue Apr 07 04:12:10 +0000 2020,0,0,425,30,en,United States,neutral
"1,25E+18",Chris Cuomo shares chest X-rays after coronavirus diagnosis via @YouTube,CaffreyEj,Tue Apr 07 04:12:11 +0000 2020,0,0,11346,11158,en,United States,neutral
"1,25E+18",How does China have no more cases and deaths of COVID-19? đŸ¤”,JAlvaradoNews,Tue Apr 07 04:12:13 +0000 2020,0,0,393,30,en,United States,neutral
"1,25E+18",Notetaker WarRoom COVID-19,TerasinR,Tue Apr 07 04:12:17 +0000 2020,0,0,3182,2052,en,à¸›à¸£à¸°à¹€à¸—à¸¨à¹„à¸—à¸¢,neutral
"1,25E+18",@realDonaldTrump good morning now india is better to fight Covid 19,RJeerawla,Tue Apr 07 04:12:48 +0000 2020,0,0,2739,165,en,à¤­à¤¾à¤°à¤¤,neutral
"1,25E+18",Lock down possible or coronavirus Positive.... Poor Lodge management in karnji Lodge 1...@MOM_sg,ksarath456,Tue Apr 07 04:12:59 +0000 2020,0,0,119,15,en,Singapore,neutral
"1,25E+18",@eentertainment In which house do I have the best chance of contracting COVID19 and being rushed out via ambulance? I choose that one.,BDub1966,Tue Apr 07 04:13:12 +0000 2020,0,0,911,196,en,United States,neutral
"1,25E+18",Please respect front line workers #COVID19 #coronavirus,Sanso13527,Tue Apr 07 04:13:19 +0000 2020,0,0,48,96,en,United Kingdom,positive
"1,25E+18",@SindhHealthDpt @barhasnainmirza didnt your area have a death related to COVID19 ???,SumetaSyed,Tue Apr 07 04:13:40 +0000 2020,0,0,538,23823,en,Pakistan,negative
"1,25E+18",@SocMikeStout Protecting portfolios over people #COVID19. #GOPCorruptionOverCountry,NixaMoMama,Tue Apr 07 04:13:44 +0000 2020,0,0,688,222,en,United States,negative
"1,25E+18",How China Built a Twitter Propaganda Machine Then Let It Loose on Coronavirus,dr_kodol,Tue Apr 07 04:13:52 +0000 2020,0,0,282,15,en,Republic of Korea,neutral
"1,25E+18",Finally a word to summarize it! @ashsr22 #lockdowneffect #life #SocialDistanacing #coronavirus,adityasr22,Tue Apr 07 04:14:35 +0000 2020,0,0,549,45,en,India,neutral
"1,25E+18",Just tryna Euro step covid-19,Eastradamus,Tue Apr 07 04:15:32 +0000 2020,0,0,265,297,en,United States,neutral
"1,25E+18",Biden's offer to help coronavirus efforts making governors' jobs 'difficult' via @nypost,MalcolmGrey6,Tue Apr 07 04:16:17 +0000 2020,0,0,29,8,en,United States,positive
"1,25E+18",Ministering to our youth during this pandemic. God&gt;Covid19 @ABC7 @CBSNews @KTLA @FoxNews,madregoneloca,Tue Apr 07 04:16:23 +0000 2020,0,0,331,120,en,United States,negative
"1,25E+18","368,196 cases and 10,986 deaths in US on 4/6 at 11:01 pm #COVID19 #CoronaVirusUpdate",historianspeaks,Tue Apr 07 04:16:24 +0000 2020,0,0,4705,5679,en,United States,negative
"1,25E+18","Los Angeles Opens Coronavirus Testing to Anyone, Not Just People Most at Risk",LAangel_Camilla,Tue Apr 07 04:17:03 +0000 2020,0,0,2457,1584,en,United States,neutral
"1,25E+18","I'll crack on Friday, May 8! #lockdown #covid19 #WhenWillYouCrack",VaughnDeF,Tue Apr 07 04:17:31 +0000 2020,0,0,1538,463,en,United States,neutral
"1,25E+18",#done #readallthebooks #coronavirus The Plot Thickens,PublicEd412,Tue Apr 07 04:18:08 +0000 2020,0,0,500,418,en,United States,neutral
"1,25E+18",Atleast something wonderful came out of this horrific pandemic #CoronaVirus. Pink champa,DrJunaidMAlam,Tue Apr 07 04:18:26 +0000 2020,0,0,305,860,en,Pakistan,negative
"1,25E+18",@piersmorgan Your tweet doesn't say 'anything positive' about #BorisJohnso. So. Shut the fuck up. #PiersMorgan #COVID19,opheliasbrother,Tue Apr 07 04:19:24 +0000 2020,0,0,4602,3295,en,United Kingdom,negative
"1,25E+18",Iâ€™m so tired of hearing about COVID 19 yet i watch the news everyday đŸ˜©,prettie_ashh,Tue Apr 07 04:19:29 +0000 2020,0,0,534,160,en,United States,neutral
"1,25E+18",@chennaicorp How do i report someone on COVID19 symptoms. I only have their name and address,venkatbchilaka,Tue Apr 07 04:19:58 +0000 2020,0,0,52,15,en,India,neutral
"1,25E+18",To the 8 states not issuing stay at home orders đŸ–•đŸ¼đŸ–•đŸ¼đŸ–•đŸ¼đŸ–•đŸ¼đŸ–•đŸ¼đŸ–•đŸ¼đŸ–•đŸ¼đŸ–•đŸ¼ #coronavirus #StayHome #StayAtHome #Ohiolockdown #ohiocoronavirus,lisamfrancis,Tue Apr 07 04:20:06 +0000 2020,0,0,335,96,en,United States,neutral
"1,25E+18","MSU doctor creates COVID-19 test with quick results, pending FDA approval #COVID19 #ChinaVirus",BillBlett,Tue Apr 07 04:20:24 +0000 2020,0,0,1421,907,en,United States,positive
"1,25E+18","@realDonaldTrump china made #CoronaVirus has killed near about 11000 US citizens, what action have u taken against China &amp; CCP?",dhirajchoudha20,Tue Apr 07 04:20:27 +0000 2020,0,0,1383,199,en,Pakistan,neutral
"1,25E+18",I wish coronavirus never happened hope everyone stays healthy and safe,martinf024,Tue Apr 07 04:20:56 +0000 2020,0,0,487,84,en,United States,positive
"1,25E+18","@lwalubengo If only Covid-19 was giving us humble time đŸ˜‚ Expect anything, the hints are dropped daily by CS Kagwe",Tsumah_ndolo,Tue Apr 07 04:21:16 +0000 2020,0,0,700,985,en,Kenya,neutral
"1,25E+18",I will never wish for another #snowday again. I miss my students. #COVID19,tedrosececi,Tue Apr 07 04:21:37 +0000 2020,0,0,4736,4675,en,United States,neutral
"1,25E+18",Why would they do it? Chinese tourists are stuck at a attraction amid coronavirus pandemic,Jaw_Knock,Tue Apr 07 04:22:59 +0000 2020,0,0,777,11632,en,Nepal,neutral
"1,25E+18",From the #COVID19 Boris Johnson will.............................,KowaFredrick,Tue Apr 07 04:23:18 +0000 2020,0,0,2671,1453,en,Kenya,neutral
"1,25E+18",Thornton niggas using the coronavirus as an excuse to use a bandana and rep a suburban neighborhood,Pedro_bg3,Tue Apr 07 04:23:19 +0000 2020,0,0,307,677,en,United States,negative
"1,25E+18",NO weâ€™re really not @realDonaldTrump #COVID19,mmackcollins,Tue Apr 07 04:23:22 +0000 2020,0,0,1381,1005,en,United States,neutral
"1,25E+18","In ORDER 2 AVOID IncReaSinG NumBers Of COVID-19,+Ve PATIENTS,A COMPLETE STRICT CURFEW Has 2 B There For Atleast 3-4 Days Before 14 APRILđŸ˜¡đŸ˜¡",rupeshrbajpai,Tue Apr 07 04:23:58 +0000 2020,0,0,249,66,en,India,negative
"1,25E+18",I was already introverted long before coronavirus was popularâ€™ #DoingTheSame đŸ˜,papeed,Tue Apr 07 04:24:13 +0000 2020,0,0,144,77,en,United States,neutral
"1,25E+18",Wow 2 years ago today I was in South Beach with my man. Coronavirus ruined our vacation đŸ˜¢,ynaoivw,Tue Apr 07 04:24:45 +0000 2020,0,0,898,2211,en,United States,positive
"1,25E+18","Aerial images show streets, beaches and landmarks empty during coronavirus pandemic via @USATODAY",mulugetaayene,Tue Apr 07 04:24:51 +0000 2020,0,0,475,909,en,Ethiopia,neutral
"1,25E+18",Check out this video from @TrustBrosCBD about #COVID19 awareness. đŸ˜,RoxyRenDoes,Tue Apr 07 04:24:59 +0000 2020,0,0,334,541,en,United States,neutral
"1,25E+18",Covid-19: Prime Minister Boris Johnson in intensive care,DailyESSEX,Tue Apr 07 04:25:03 +0000 2020,0,0,2565,22839,en,United Kingdom,negative
"1,25E+18",I was supposed to be home rn... stupid coronavirus ruined everything.,rod7e,Tue Apr 07 04:25:38 +0000 2020,0,0,201,251,en,United States,negative
"1,25E+18",Coronavirus or not as soon as May hit Iâ€™m outâœŒđŸ¼,jadaaabooo,Tue Apr 07 04:25:43 +0000 2020,0,0,252,481,en,United States,neutral
"1,25E+18",Help unemployed ones to stop covid-19,mojohookah,Tue Apr 07 04:25:59 +0000 2020,0,0,43,39,en,United States,negative
"1,25E+18","My birthday wish for today is everyoneâ€™s safety. Lord, I declare na matapos na â€˜tong COVID19 na ito. â¤ï¸đŸ™đŸ»",KaelBondoc,Tue Apr 07 04:26:31 +0000 2020,0,0,904,2373,en,Republic of the Philippines,negative
"1,25E+18",@sallyeastman1 @JordanSchachtel @davereaboi I donâ€™t wish Coronavirus on anyone. I mightâ€™ve just changed my wishes.,dancedivaamg,Tue Apr 07 04:26:33 +0000 2020,0,0,138,77,en,United States,neutral
"1,25E+18",Racism has no place in the global fight against COVID-19.,h_soumare,Tue Apr 07 04:27:08 +0000 2020,0,0,1235,1044,en,United States,positive
"1,25E+18",Just saw a viral Facebook post claiming that Soros owns â€œthe Wuhan lab where COVID-19 was createdâ€ and thatâ€™s enough Internet for tonight,ClaireJChu,Tue Apr 07 04:27:33 +0000 2020,0,0,1900,1254,en,United States,negative
"1,25E+18",Today we are going to have more patients of covid19??? JESUS told me but am scared you won't believe međŸ¤£đŸ¤£đŸ¤£,LutaleY,Tue Apr 07 04:28:25 +0000 2020,0,0,192,19,en,Uganda,neutral
"1,25E+18","COVID-19: UAE's Taaleem announces school fees discounts, special packages #InThisTogether",walfordwright,Tue Apr 07 04:28:33 +0000 2020,0,0,455,11899,en,United Arab Emirates,negative
"1,25E+18","COVID-19: UAE's TaaleemđŸ announces school fees discounts, special packages #InThisTogether",Taaleem,Tue Apr 07 04:29:07 +0000 2020,0,0,191,4217,en,United Arab Emirates,neutral
"1,25E+18",See Iceland government's transparency and amazing data sharing on #COVID19,meeadsaberi,Tue Apr 07 04:29:08 +0000 2020,0,0,316,678,en,Australia,positive
"1,25E+18","Well, she was just COVID-19, if you know what I mean And the way she looked Was way beyond compare",Big2naFish,Tue Apr 07 04:29:08 +0000 2020,0,0,233,93,en,United States,neutral
"1,25E+18",Now to get my crush to date me đŸ¤”. But after these cdc guidelines go away. COVID19 really saved him these months đŸ˜‚.,Sitol_Jane,Tue Apr 07 04:29:34 +0000 2020,0,0,1854,954,en,United States,neutral
"1,25E+18",@JoeySalads @BarackObama @JoeySalads How would you simultaneously re-open businesses and prevent further spread of COVID-19?,harperbeverly58,Tue Apr 07 04:29:36 +0000 2020,0,0,243,46,en,United States,neutral
"1,25E+18",Another victim of the economic crash from Covid 19. Our beloved ok sklsnd Zoo.,Earthgranny,Tue Apr 07 04:31:36 +0000 2020,0,0,2384,1812,en,United States,negative
"1,25E+18",@ShujaatAliSyed1 COVID 19 and its impact on Thailand's security architecture,ruetacha,Tue Apr 07 04:32:16 +0000 2020,0,0,330,106,en,Thailand,negative
"1,25E+18","This decade is off to a crazy start. If you think coronavirus is bad, wait a few years until SkyNet sends back a Terminator.",hank_thierry,Tue Apr 07 04:32:22 +0000 2020,0,0,1220,221,en,United States,negative
"1,25E+18",NOTE: this is BEFORE any patients arrived- #NOLA #COVID19,PodcastKevin,Tue Apr 07 04:32:30 +0000 2020,0,0,362,113,en,United States,neutral
"1,25E+18","Coronavirus: President, PM, Ministers, MPs to take 30% salary cut for a year via NaMo App",SurajKu43005567,Tue Apr 07 04:32:34 +0000 2020,0,0,19,0,en,India,neutral
"1,25E+18",Listen UpđŸ‘‚đŸ¼.. #COVID19,JenanX59_,Tue Apr 07 04:32:48 +0000 2020,0,0,290,1023,en,United Kingdom,neutral
"1,25E+18",Today is World health day and covid-19 safety She is everyone responsibility Social distance is compulsory,Dharmen14883089,Tue Apr 07 04:34:11 +0000 2020,0,0,1,0,en,India,positive
"1,25E+18",Bronx Zoo says tiger did not get human coronavirus test via @nypmetro,MetalOTM,Tue Apr 07 04:34:23 +0000 2020,0,0,1499,1539,en,United States,positive
"1,25E+18",Protecting portfolios over people #COVID19 #GOPCorruptionOverCountry,NixaMoMama,Tue Apr 07 04:34:58 +0000 2020,0,0,688,222,en,United States,positive
"1,25E+18",I want to order Fast food rn (9:30pm) but I'm so worried that Essential workers have #covid19 đŸ˜“,acactus27,Tue Apr 07 04:35:01 +0000 2020,0,0,124,104,en,United States,neutral
"1,25E+18",@BBCWorld Makes sense. What about Covid-19?,pinetailnyc,Tue Apr 07 04:35:09 +0000 2020,0,0,174,26,en,United States,neutral
"1,25E+18",Ivermectin drug kills COVID-19 in laboratory within 48 hours,JavediqbalProf,Tue Apr 07 04:35:14 +0000 2020,0,0,271,280,en,India,negative
"1,25E+18",COVID 19: Grant to states should not be on the bases of confirmed cases @GovWike,miebacka,Tue Apr 07 04:36:21 +0000 2020,0,0,5026,4655,en,Nigeria,neutral
"1,25E+18",Coronavirus: China records first day with no deaths since January #Coronavirus,PoliticalPrada,Tue Apr 07 04:36:23 +0000 2020,0,0,4998,2127,en,United States,positive
"1,25E+18",đŸ¨ CIGARETTE COMPANY IS KILLING THEIR BEST CUSTOMERS đŸ¨ đŸ˜‚ đŸ¤£ đŸ¤£ #COVID19 #lockdowneffect,ThisZ_Uganda,Tue Apr 07 04:37:17 +0000 2020,0,0,958,606,en,Uganda,negative
"1,25E+18","Remember, Unite, Renew as we continue to combat the COVID 19 Pandemic within the confines of our Homes.",EdwardNkusi,Tue Apr 07 04:37:34 +0000 2020,0,0,150,25,en,Rwanda,negative
"1,25E+18",Prayers up for everyone negatively affected by the Coronavirus đŸ™đŸ½,KyleSkye,Tue Apr 07 04:37:34 +0000 2020,0,0,7858,26154,en,United States,neutral
"1,25E+18",I seen somebody call COVID-19 the Holocough and I havenâ€™t stopped laughing since.,Ray5893,Tue Apr 07 04:37:35 +0000 2020,0,0,923,962,en,United States,negative
"1,25E+18",WHO director-general endorses a voluntary intellectual property pool to develop Covid-19 products,Rosario_Strano,Tue Apr 07 04:37:59 +0000 2020,0,0,8188,7428,en,United States,positive
"1,25E+18",Adventures with DNA: Covid time capsule #MaplewoodMom #TimeCapsule #COVID19 via @YouTube,NikkiLee1984,Tue Apr 07 04:38:07 +0000 2020,0,0,790,439,en,United States,neutral
"1,25E+18",UK Prime Minister Boris Johnson dies after contracting Coronavirus,tokamaksan,Tue Apr 07 04:38:19 +0000 2020,0,0,378,150,en,æ—¥æœ¬,negative
"1,25E+18",i think johnny blonde hair would kill the coronavirus,byeongyunho,Tue Apr 07 04:38:29 +0000 2020,0,0,397,2573,en,United States,negative
"1,25E+18","Congrats, Cali! You did it! #COVID19 #californiacoronavirus",mkcarr44,Tue Apr 07 04:38:35 +0000 2020,0,0,340,39,en,United States,positive
"1,25E+18",@reflog video from the rapids the day of the COVID19 Rally,Lauraegates27,Tue Apr 07 04:39:10 +0000 2020,0,0,827,333,en,United States,positive
"1,25E+18","#ChineseVirus Patient being treated by #Ayurveda in US, recovering.. #coronavirus #COVID19",joglekarsaurabh,Tue Apr 07 04:39:12 +0000 2020,0,0,387,187,en,United States,positive
"1,25E+18","Hey, don't forget to wash ur hand regularly after holding on to empty promise ya... đŸ˜·đŸ˜·đŸ˜· #COVID19 #PKP #StayAtHome #StayHomeStaySafe",ZaxZoul,Tue Apr 07 04:40:29 +0000 2020,0,0,1568,235,en,Malaysia,positive
"1,25E+18",I need a video conference call wig #shpk #COVID19,nursekoughan,Tue Apr 07 04:40:31 +0000 2020,0,0,435,147,en,Canada,neutral
"1,25E+18",đŸ›‘COVID19: CJN orders all courts in Nigeria to shutdown:,Tony98Tony,Tue Apr 07 04:40:37 +0000 2020,0,0,411,366,en,United States,neutral
"1,25E+18",lunch today. #crcheers #quircsingapore #homemademeals #staysafeandhealthy #safedistancing #covid19 @ Evania,QUIRC_Singapore,Tue Apr 07 04:40:50 +0000 2020,0,0,103,18,en,Singapore,neutral
"1,25E+18",decide i'm only going to call it the novel coronavirus and get extremely pedantic if anyone else does not,Dvoleich,Tue Apr 07 04:41:02 +0000 2020,0,0,350,143,en,United States,neutral
"1,25E+18",#COVID19 #mask please wear!! #dm for more info,LeroyBradley13,Tue Apr 07 04:41:06 +0000 2020,0,0,44,0,en,United States,neutral
"1,25E+18",Amazing. Coronavirus: China records first day with no deaths since January #Coronavirus,ajdarjean,Tue Apr 07 04:41:58 +0000 2020,0,0,1069,560,en,United States,negative
"1,25E+18","đŸ›‘BREAKING: Buhari's govt closes all land borders, suspends FEC meetings due to coronavirus:",Tony98Tony,Tue Apr 07 04:42:04 +0000 2020,0,0,411,366,en,United States,negative
"1,25E+18",Brace Yourself for Waves of #Coronavirus Infections:,ifapel,Tue Apr 07 04:42:09 +0000 2020,0,0,3729,1084,en,Poland,neutral
"1,25E+18",#COVID19 imported cases to #China - it shows how much we as a global community need to improve in #TestingForCovid19,DrBonillaOnc,Tue Apr 07 04:42:22 +0000 2020,0,0,2119,2142,en,United States,negative
"1,25E+18",Israel to Begin Testing Drug from Japan in Battle Against COVID-19,dsrved759,Tue Apr 07 04:42:26 +0000 2020,0,0,1666,1325,en,United States,positive
"1,25E+18",#India Fight Against Covid 19,Sudhans58732112,Tue Apr 07 04:42:38 +0000 2020,0,0,0,0,en,India,positive
"1,25E+18","Detroit rep says hydroxychloroquine, Trump helped save her life amid COVID-19 fight via @freep",cbrolz,Tue Apr 07 04:44:39 +0000 2020,0,0,1494,514,en,United States,positive
"1,25E+18",#COVID19 Boris Johnson moved to intensive care as coronavirus symptoms worsen,MrMikeJacksonI1,Tue Apr 07 04:44:41 +0000 2020,0,0,560,242,en,United States,negative
"1,25E+18","Coronavirus: President, PM, Ministers, MPs to take 30% salary cut for a year via NaMo App",MukeshPathakji,Tue Apr 07 04:44:44 +0000 2020,0,0,445,2789,en,India,neutral
"1,25E+18",@WHO Happy Birth Day Bowl Out Pandemic #COVID19 this time,jhallevicharblo,Tue Apr 07 04:45:02 +0000 2020,0,0,3171,1346,en,India,neutral
"1,25E+18",Indiaâ€™s efforts to combat COVID-19 have been lauded globally: PM Modi,PranavPVaria,Tue Apr 07 04:45:29 +0000 2020,0,0,282,840,en,India,positive
"1,25E+18",COVID-19 and the Politics of Fear and Panic,filnj,Tue Apr 07 04:45:38 +0000 2020,0,0,16427,17312,en,United States,neutral
"1,25E+18",PM Modi calls Australian counterpart; discusses need to share experience to deal with coronavirus,PranavPVaria,Tue Apr 07 04:45:50 +0000 2020,0,0,282,840,en,India,neutral
"1,25E+18",Did yâ€™all know Britainâ€™s Prime Minister is in ICU with Coronavirus? đŸ˜Ÿ,Ray5893,Tue Apr 07 04:46:26 +0000 2020,0,0,923,962,en,United States,neutral
"1,25E+18",How to celebrate my birthday đŸ during this Covid19 era on April 10th đŸ˜· @ Stay at Home and Keep Positive,IOyesanya,Tue Apr 07 04:46:34 +0000 2020,0,0,925,95,en,Switzerland,neutral
"1,25E+18","@funder @JoyAnnReid @AliVelshi Places where there apoears 2B NO COVID19 stats - Russia, Israel and t/CONCENTRATION CAMPS on our borders!",DrDiva82,Tue Apr 07 04:46:46 +0000 2020,0,0,3038,1549,en,United States,neutral
"1,25E+18",Lights Out: Millions of candles ignite across India as show of solidarity to beat COVID-19 darkness,PranavPVaria,Tue Apr 07 04:46:48 +0000 2020,0,0,282,840,en,India,neutral
"1,25E+18",Can plasma from recovered COVID-19 patients treat the sick? | Science News,mukjosez,Tue Apr 07 04:46:49 +0000 2020,0,0,319,31,en,Uganda,positive
"1,25E+18",BBC News - Coronavirus wreaks havoc in African American neighbourhoods,RosePAr47670551,Tue Apr 07 04:47:23 +0000 2020,0,0,1354,542,en,United States,neutral
"1,25E+18",Meg'anon!! Egyptian lawyer demands China pay $10 trillion in coronavirus damages,RosePAr47670551,Tue Apr 07 04:48:05 +0000 2020,0,0,1354,542,en,United States,neutral
"1,25E+18",When do you NEED to TEST for #COVID19? Answer: Press â–¶ï¸ #STAYSAFEUG,UgandaMediaCent,Tue Apr 07 04:48:25 +0000 2020,0,0,170,241000,en,Uganda,neutral
"1,25E+18",I made a gift to help FSU students impacted by COVID-19. #SupportFSU #FinishStrongFSU via @floridastate,WhatTheJeanette,Tue Apr 07 04:48:31 +0000 2020,0,0,569,353,en,United States,neutral
"1,25E+18",How Coronavirus Attacks the Body | NYT News via @nytimes #COVID19,AMednurse,Tue Apr 07 04:48:48 +0000 2020,0,0,580,1134,en,United States,neutral
"1,25E+18",Fill up my three spotâ€¼ï¸$25-200 #dontplayifyouaingotmoney #StayAtHomeandgetmoney #coronavirus #easymoney #fastmoney #StayAtHome,moyaa_t,Tue Apr 07 04:49:35 +0000 2020,0,0,310,376,en,United States,neutral
"1,25E+18",@Alyssa_Milano I think heâ€™s in the early stages of #COVID19 if not than heâ€™s possibly a carrier,ChrisSchachern,Tue Apr 07 04:50:10 +0000 2020,0,0,2878,147,en,United States,neutral
